"","originating.agency","incident.number","incident.date","date.agency.went.NIBRS","city","current.population","UCR.county","FIPS.county","incident.hour","UCR.code","completed","multiple.victims","multiple.offenders","type","primary.incident","victim.age","victim.sex","victim.race","victim.ethnicity","victim.residency","offender.age","offender.sex","offender.race","target.harm","target.arrest","victimage.group","offenderage.group","population.group","relationship.group","hour.group","same.race","state.name","division.name","region.name","location.name","loc.group","weapon.name","injury.name","Victim.in.relation","FIPS"
"13","KS0700100","323T4EMQ-F39",20111101,20000101,"OSAGE CITY                    ",2962,70,139,12,100,1,2,2,"MultVO",1,8,"male","white","not.hispanic","resident",36,"male","white",1,NA,"6-10","30-40","Pop <25K","Parent","Morning",0,"KS","West North Central","Northcentral","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Stepchild","15139"
"14","VA0650000","5F19-0W5UL6S",20100215,19960601,"NORTHAMPTON                   ",10719,66,131,11,100,1,2,1,"MultVic",1,4,"male","white","hispanic","resident",22,"male","white",0,0,"0-5","20-30","Pop <25K","Parent","Morning",0,"VA","South Atlantic","South","Residence/Home","Home","None/Other","Apparent Minor Injury","Stepchild","45131"
"15","MI8018000"," A0MQ-F3PD19",20100920,19950101,"VAN BUREN                     ",55704,80,159,23,100,1,1,2,"MultOff",1,4,"female","white",NA,"non-resident",36,"female","white",0,0,"0-5","30-40","Pop 25-100K","Parent","Night",0,"MI","East North Central","Northcentral","Residence/Home","Home","None/Other","None","Stepchild","21159"
"16","VA0750300","8T0VKYZR72 N",20120325,20000101,"PRINCE WILLIAM COUNTY PD      ",415028,77,153,23,100,1,1,1,"SingleVO",1,12,"female","white","not.hispanic","resident",26,"male","white",1,0,"11-15","20-30","Pop 100-500K","Parent","Night",0,"VA","South Atlantic","South","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","Apparent Minor Injury","Stepchild","45153"
"17","MI1101100","7X0BXBRVSQ6A",20100122,19980101,"SP: BERRIEN COUNTY            ",0,11,21,16,100,1,1,2,"MultOff",1,3,"male","white",NA,NA,23,"female",NA,0,NA,"0-5","20-30",NA,"Parent","Afternoon",NA,"MI","East North Central","Northcentral","Residence/Home","Home","None/Other","None","Stepchild","21021"
"18","KS0780100","LN148LPKF39G",20100330,20000101,"HUTCHINSON                    ",40981,78,155,0,100,1,1,1,"SingleVO",1,4,"male","white","not.hispanic","resident",29,"male","white",0,NA,"0-5","20-30","Pop 25-100K","Parent","Night",0,"KS","West North Central","Northcentral","Residence/Home","Home",NA,"None","Stepchild","15155"
"19","TNMPD0000","BR093U779EMF",20110530,20000801,"MEMPHIS                       ",652725,79,157,16,100,1,1,1,"SingleVO",1,14,"male","white","not.hispanic","resident",64,"male","white",0,NA,"11-15",">50","Pop >500K","Parent","Afternoon",0,"TN","East South Central","South","Residence/Home","Home","None/Other","None","Stepchild","41157"
"20","WIMPD0000"," 13BU-F8UX I",20111104,20050101,"MILWAUKEE                     ",597426,40,79,16,100,1,1,1,"SingleVO",1,5,"male","black","not.hispanic","resident",56,"male","black",1,0.9,"0-5",">50","Pop >500K","Parent","Afternoon",0,"WI","East North Central","Northcentral","Residence/Home","Home","None/Other","Apparent Minor Injury","Stepchild","48079"
"21","OR0240200","8N0QAWEC72 N",20111105,20031001,"SALEM                         ",131786,24,47,9,100,1,1,1,"SingleVO",1,11,"female","white",NA,NA,33,"male","white",0,NA,"11-15","30-40","Pop 100-500K","Parent","Morning",0,"OR","Pacific","West","Residence/Home","Home","None/Other","None","Stepchild","36047"
"22","KS0280100","103MLU7NLD1A",20101106,20000101,"GARDEN CITY                   ",28736,28,55,18,100,1,1,2,"MultOff",1,15,"female","white","not.hispanic","resident",27,"male","black",1,0.6,"11-15","20-30","Pop 25-100K","Parent","Afternoon",1,"KS","West North Central","Northcentral","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","Severe Laceration","Stepchild","15055"
"23","SC0320700","18-HP-70TD1A",20120116,19910101,"IRMO                          ",7110,40,79,21,100,1,1,1,"SingleVO",1,15,"female","black","not.hispanic","resident",38,"male","black",1,NA,"11-15","30-40","Pop <25K","Parent","Night",0,"SC","South Atlantic","South","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","Possible Internal Injury","Stepchild","39079"
"24","TN0950100","2W1H0KKUIY1A",20100610,19980101,"LEBANON                       ",25446,95,189,2,100,1,1,3,"MultOff",0,11,"female","white","not.hispanic","resident",19,"female","white",0,NA,"11-15","<20","Pop 25-100K","Parent","Early",0,"TN","East South Central","South","Other/unknown","Unknown","Personal Weapons (hands, feet, teeth, etc.)","None","Stepchild","41189"
"25","KS0870000","FZSNJ 7Y6-F3",20120317,20011201,"SEDGWICK                      ",37741,87,173,2,100,1,1,1,"SingleVO",1,15,"female","white","not.hispanic","non-resident",35,"male","white",1,0,"11-15","30-40","Pop 25-100K","Parent","Early",0,"KS","West North Central","Northcentral","Highway/Road/Alley","Road/transit","Motor Vehicle","None","Stepchild","15173"
"26","VA0290100","2W1H0O8296KA",20100326,20000101,"FAIRFAX COUNTY PD             ",1009834,30,59,13,100,1,2,1,"MultVic",1,13,"female","white","hispanic","resident",50,"male","white",1,5,"11-15","40-50","Pop >500K","Parent","Afternoon",0,"VA","South Atlantic","South","Residence/Home","Home","None/Other","None","Stepchild","45059"
"27","KS0750500","8I0BYVPU72 N",20101009,20090201,"ONAGA                         ",686,75,149,7,100,1,1,1,"SingleVO",1,12,"female","white","not.hispanic","resident",42,"male","white",1,NA,"11-15","40-50","Pop <25K","Parent","Morning",0,"KS","West North Central","Northcentral","Residence/Home","Home",NA,"None","Stepchild","15149"
"28","UT0290100","9N-IN4K8F39G",20101020,20010801,"OGDEN                         ",81431,29,57,21,100,1,1,1,"SingleVO",1,12,"female","white","not.hispanic",NA,39,"male","white",0,NA,"11-15","30-40","Pop 25-100K","Parent","Night",0,"UT","Mountain","West","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Stepchild","43057"
"29","CO0510100","8T04AAM972 N",20120630,20090101,"PUEBLO                        ",109065,51,101,20,100,1,1,3,"MultOff",0,15,"female","white","hispanic","resident",20,"female","white",1,NA,"11-15","<20","Pop 100-500K","Parent","Night",0,"CO","Mountain","West","Highway/Road/Alley","Road/transit","Personal Weapons (hands, feet, teeth, etc.)","None","Stepchild","05101"
"30","MI8018000","3L0J4KOZKO2 ",20120516,19950101,"VAN BUREN                     ",55097,80,159,15,100,0,1,2,"MultOff",0,3,"male","white",NA,"non-resident",17,"female","white",0,NA,"0-5","<20","Pop 25-100K","Parent","Afternoon",0,"MI","East North Central","Northcentral","Daycare facility","School","None/Other","None","Stepchild","21159"
"31","CT0004300","2W1H0U7ZZ7J8",20100831,19991201,"EAST HARTFORD                 ",49156,2,3,13,100,1,1,1,"SingleVO",1,15,"female","black","hispanic","resident",45,"male","black",1,18,"11-15","40-50","Pop 25-100K","Parent","Afternoon",0,"CT","New England","Northeast","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Stepchild","06003"
"32","CT0002700","VF--F08-60VS",20100216,20011201,"CLINTON                       ",13832,4,7,18,100,1,1,1,"SingleVO",1,10,"female","white","hispanic","non-resident",44,"male","white",1,3.3,"6-10","40-50","Pop <25K","Parent","Afternoon",0,"CT","New England","Northeast","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Stepchild","06007"
"33","VA1170000","381025YPX7X8",20101121,19990801,"NORFOLK                       ",234100,NA,NA,14,100,1,1,1,"SingleVO",1,5,"female","black","not.hispanic","resident",34,"male","black",0,NA,"0-5","30-40","Pop 100-500K","Parent","Afternoon",0,"VA","South Atlantic","South","Highway/Road/Alley","Road/transit","None/Other","None","Stepchild","45 NA"
"34","MI6381500","1W1H0U728GBO",20100110,19970101,"WEST BLOOMFIELD TOWNSHIP      ",63345,63,125,0,100,1,2,2,"MultVO",1,9,"female","black","not.hispanic","resident",53,"male","black",0,NA,"6-10",">50","Pop 25-100K","Parent","Night",0,"MI","East North Central","Northcentral","Residence/Home","Home","None/Other","None","Stepchild","21125"
"35","KS0230100","19-BW1F10U5X",20121207,20000101,"LAWRENCE                      ",89180,23,45,22,100,1,2,1,"MultVic",1,4,"female","white","not.hispanic","resident",22,"male","white",0,NA,"0-5","20-30","Pop 25-100K","Parent","Night",0,"KS","West North Central","Northcentral","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Stepchild","15045"
"36","VA1160000","NH1K5O97XAEM",20120710,19980701,"NEWPORT NEWS                  ",181591,NA,NA,0,100,1,3,1,"MultVic",0,3,"female","white",NA,"resident",30,"male","white",0,4,"0-5","20-30","Pop 100-500K","Parent","Night",0,"VA","South Atlantic","South","Other/unknown","Unknown","None/Other","None","Stepchild","45 NA"
"37","WA0110200","7S1I6DRHPU72",20120324,20110101,"PASCO                         ",63806,11,21,17,100,1,1,1,"SingleVO",1,13,"female","white","hispanic","resident",31,"male","white",0,0,"11-15","30-40","Pop 25-100K","Parent","Afternoon",0,"WA","Pacific","West","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Stepchild","46021"
"38","TN0090300","2W1H0HON9LXX",20100925,19971130,"MCKENZIE                      ",4967,9,17,15,100,1,3,1,"MultVic",0,3,"male","white","not.hispanic","resident",32,"male","white",0,0,"0-5","30-40","Pop <25K","Parent","Afternoon",0,"TN","East South Central","South","Field/Woods","Park/outdoor","Personal Weapons (hands, feet, teeth, etc.)","None","Stepchild","41017"
"39","KY0550200","0A6U740UTD1A",20121219,20120101,"JACKSON COUNTY POL DEPT       ",0,55,109,21,100,1,1,1,"SingleVO",1,3,"female","white","not.hispanic","resident",21,"male","white",0,NA,"0-5","20-30",NA,"Parent","Night",0,"KY","East South Central","South","Residence/Home","Home",NA,"None","Stepchild","16109"
"40","KS0870300","8ICB0WBMQ 8N",20100917,20001101,"WICHITA                       ",376880,87,173,9,100,1,1,1,"SingleVO",1,15,"male","black","not.hispanic","resident",37,"male","black",0,NA,"11-15","30-40","Pop 100-500K","Parent","Morning",0,"KS","West North Central","Northcentral","School/College","School","None/Other","None","Stepchild","15173"
"41","OH0230100","0W1M0U7 ZYXA",20100529,20010101,"LANCASTER                     ",37330,23,45,0,100,1,1,3,"MultOff",0,6,"female","white",NA,"resident",31,"male","white",0,0,"6-10","30-40","Pop 25-100K","Parent","Night",0,"OH","East North Central","Northcentral","Church/Synagogue/Temple","School","None/Other","None","Stepchild","34045"
"42","KY0760200","5M5UF 761AEM",20120306,20000101,"RICHMOND                      ",31890,76,151,17,100,1,1,1,"SingleVO",1,3,"male","white","not.hispanic","resident",35,"male","white",0,0,"0-5","30-40","Pop 25-100K","Parent","Afternoon",0,"KY","East South Central","South","Residence/Home","Home","None/Other","None","Stepchild","16151"
"43","WA0270300","8N0QYVEDQ2 N",20110218,20070101,"TACOMA                        ",201510,27,53,0,100,1,2,1,"MultVic",1,5,"male","white","not.hispanic","resident",26,"male","white",1,0,"0-5","20-30","Pop 100-500K","Parent","Night",0,"WA","Pacific","West","Residence/Home","Home","Knife/Cutting Instrument","None","Stepchild","46053"
"44","VA1170000","1A0NQ4O2JN0W",20110717,19990801,"NORFOLK                       ",245704,NA,NA,7,100,1,1,1,"SingleVO",1,6,"female","black","not.hispanic","resident",35,"male","black",0,NA,"6-10","30-40","Pop 100-500K","Parent","Morning",0,"VA","South Atlantic","South","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Stepchild","45 NA"
"45","KY0040000","5M55RN7G1AEM",20120507,20090101,"BALLARD                       ",7262,4,7,11,100,1,1,1,"SingleVO",1,8,"female","white","not.hispanic","resident",35,"female","white",0,NA,"6-10","30-40","Pop <25K","Parent","Morning",0,"KY","East South Central","South","Residence/Home","Home","None/Other","None","Stepchild","16007"
"46","VA0750300","8T0GAOQL72 N",20120411,20000101,"PRINCE WILLIAM COUNTY PD      ",415028,77,153,15,100,1,1,2,"MultOff",1,13,"male","black","not.hispanic","resident",39,"female","black",1,0,"11-15","30-40","Pop 100-500K","Parent","Afternoon",0,"VA","South Atlantic","South","Residence/Home","Home","None/Other","Apparent Minor Injury","Stepchild","45153"
"47","UT0250600","2W1H0U8UJC1A",20100711,19910301,"PROVO                         ",117734,25,49,10,100,1,1,2,"MultOff",0,10,"female","white","hispanic","resident",19,"male","white",1,7.4,"6-10","<20","Pop 100-500K","Parent","Morning",0,"UT","Mountain","West","Highway/Road/Alley","Road/transit","Personal Weapons (hands, feet, teeth, etc.)","None","Stepchild","43049"
"48","VA0750100","8T0BAFQD72 N",20120513,19961101,"MANASSAS                      ",39733,NA,NA,23,100,1,1,1,"SingleVO",1,15,"female","white","hispanic","resident",28,"male","white",1,0,"11-15","20-30","Pop 25-100K","Parent","Night",0,"VA","South Atlantic","South","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","Apparent Minor Injury","Stepchild","45 NA"
"49","OR0360000","8I0B-OTL72 N",20101206,19980101,"YAMHILL                       ",37000,36,71,12,100,1,1,1,"SingleVO",1,11,"female","white","not.hispanic","non-resident",30,"female","white",0,NA,"11-15","20-30","Pop 25-100K","Parent","Morning",0,"OR","Pacific","West","Residence/Home","Home","None/Other","None","Stepchild","36071"
"50","KYKSP0700","9D1K9WY2SCTD",20100120,20090101,"SP: RICHMOND                  ",0,NA,NA,21,100,1,1,1,"SingleVO",1,12,"female","white","not.hispanic","resident",40,"male","white",1,0.1,"11-15","30-40",NA,"Parent","Night",0,"KY","East South Central","South","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","Possible Internal Injury","Stepchild","16 NA"
"51","ID0100000","2W1J06KUID1A",20120430,19930101,"BONNEVILLE                    ",48452,10,19,15,100,1,2,1,"MultVic",1,13,"female","white","not.hispanic","resident",33,"female","white",0,NA,"11-15","30-40","Pop 25-100K","Parent","Afternoon",0,"ID","Mountain","West","Residence/Home","Home","None/Other","None","Stepchild","11019"
"52","MI8234900","181J0O7U8688",20120804,20050101,"DETROIT                       ",707096,82,163,15,100,1,2,1,"MultVic",0,7,"female","white","not.hispanic","resident",28,"male","white",0,NA,"6-10","20-30","Pop >500K","Parent","Afternoon",0,"MI","East North Central","Northcentral","Residence/Home","Home","None/Other","None","Stepchild","21163"
"53","TNMPD0000","BW053921AOMF",20120713,20000801,"MEMPHIS                       ",657436,79,157,18,100,1,2,1,"MultVic",0,2,"female","black","not.hispanic","resident",31,"female","black",0,NA,"0-5","30-40","Pop >500K","Parent","Afternoon",0,"TN","East South Central","South","Residence/Home","Home","None/Other","None","Stepchild","41157"
"54","MA0071800","72-NJAR6I0R2",20110817,19960501,"SPRINGFIELD                   ",153993,7,13,12,100,1,2,1,"MultVic",1,14,"female","white","hispanic","resident",42,"male","white",0,NA,"11-15","40-50","Pop 100-500K","Parent","Morning",0,"MA","New England","Northeast","Residence/Home","Home","None/Other","None","Stepchild","20013"
"55","VA1160000","NH1K5O97XAEM",20120710,19980701,"NEWPORT NEWS                  ",181591,NA,NA,0,100,1,3,1,"MultVic",0,4,"female","white",NA,"resident",30,"male","white",0,4,"0-5","20-30","Pop 100-500K","Parent","Night",0,"VA","South Atlantic","South","Other/unknown","Unknown","None/Other","None","Stepchild","45 NA"
"56","ID0280000"," I-0UWM16X I",20110924,19930901,"KOOTENAI                      ",58653,28,55,17,100,1,1,1,"SingleVO",1,6,"male","white","hispanic","resident",46,"male","white",0,NA,"6-10","40-50","Pop 25-100K","Parent","Afternoon",0,"ID","Mountain","West","Highway/Road/Alley","Road/transit","Personal Weapons (hands, feet, teeth, etc.)","None","Stepchild","11055"
"57","TNMPD0000","BQ0P3TL2A8MF",20100827,20000801,"MEMPHIS                       ",673650,79,157,20,100,1,1,1,"SingleVO",1,7,"female","black","not.hispanic","resident",25,"male","black",0,NA,"6-10","20-30","Pop >500K","Parent","Night",0,"TN","East South Central","South","Residence/Home","Home","None/Other","None","Child","41157"
"58","TN0730400","2W1H0B7O8224",20100528,19971101,"ROCKWOOD                      ",5536,73,145,0,100,1,2,1,"MultVic",1,1,"female",NA,NA,"resident",26,"female","white",0,NA,"0-5","20-30","Pop <25K","Parent","Night",NA,"TN","East South Central","South","Residence/Home","Home","None/Other","None","Child","41145"
"59","TNMPD0000","1W1J0-RP9YHH",20101221,20000801,"MEMPHIS                       ",673650,79,157,14,100,1,1,1,"SingleVO",1,14,"female","black","not.hispanic","resident",38,"male","black",0,NA,"11-15","30-40","Pop >500K","Parent","Afternoon",0,"TN","East South Central","South","Residence/Home","Home","None/Other","None","Child","41157"
"60","TNMPD0000","BR0K3T798OMF",20110615,20000801,"MEMPHIS                       ",652725,79,157,18,100,1,1,1,"SingleVO",1,15,"female","black","not.hispanic","non-resident",31,"female","black",0,NA,"11-15","30-40","Pop >500K","Parent","Afternoon",0,"TN","East South Central","South","Residence/Home","Home","None/Other","None","Child","41157"
"61","MI7907900","EH05P28N0I5O",20100907,19980101,"SP: TUSCOLA COUNTY            ",0,79,157,17,100,1,1,1,"SingleVO",1,9,"female","white",NA,NA,29,"female","white",0,NA,"6-10","20-30",NA,"Parent","Afternoon",0,"MI","East North Central","Northcentral","Government/Public Building","Other","None/Other","None","Child","21157"
"62","VA0920400","8T0QROQU72 N",20120318,19961101,"TAZEWELL                      ",4640,93,185,20,100,1,1,3,"MultOff",1,14,"female","white","not.hispanic","resident",31,"male","white",0,0.4,"11-15","30-40","Pop <25K","Parent","Night",0,"VA","South Atlantic","South","Department/Discount Store","Shopping","None/Other","None","Child","45185"
"63","TN0630100","HJ0-O5972R5M",20120722,19971201,"CLARKSVILLE                   ",137356,63,125,9,100,1,1,1,"SingleVO",1,3,"female","white","not.hispanic","resident",30,"male","white",0,NA,"0-5","20-30","Pop 100-500K","Parent","Morning",0,"TN","East South Central","South","Residence/Home","Home","None/Other","None","Child","41125"
"64","CTCSP0000","8N0BIM3HTS N",20110712,20030101,"CONNECTICUT STATE POLICE      ",539137,300,900,12,100,1,3,1,"MultVic",1,1,"female","white",NA,"resident",20,"male","white",0,0,"0-5","<20","Pop >500K","Parent","Morning",0,"CT","New England","Northeast","Residence/Home","Home","None/Other","None","Child","06900"
"65","KS0230100","19-BR1F10798",20111209,20000101,"LAWRENCE                      ",88200,23,45,18,100,1,1,2,"MultOff",0,4,"female","white","not.hispanic","resident",21,"female","black",0,NA,"0-5","20-30","Pop 25-100K","Parent","Afternoon",1,"KS","West North Central","Northcentral","Residence/Home","Home","None/Other","None","Child","15045"
"66","TN0550000","9G-RKLE8F39G",20111202,19991101,"MCNAIRY                       ",19694,55,109,14,100,1,3,1,"MultVic",1,6,"female","white","not.hispanic","resident",42,"male","white",0,NA,"6-10","40-50","Pop <25K","Parent","Afternoon",0,"TN","East South Central","South","School/College","School","None/Other","None","Child","41109"
"67","MI3351900","T702EIPUKU9G",20120706,20040101,"LANSING                       ",109939,33,65,11,100,1,2,1,"MultVic",1,0.5,"female","black",NA,NA,21,"female","black",0,NA,"0-5","20-30","Pop 100-500K","Parent","Morning",0,"MI","East North Central","Northcentral","Residence/Home","Home","None/Other","None","Child","21065"
"68","CO0300400","8T04YO5V72 N",20120513,19970101,"LAKEWOOD                      ",146404,30,59,2,100,1,2,3,"MultVO",0,0.5,"female","white",NA,NA,30,"female","white",0,NA,"0-5","20-30","Pop 100-500K","Parent","Early",0,"CO","Mountain","West","Residence/Home","Home","None/Other","None","Child","05059"
"69","MI8234900","1W1H04OV86K ",20100726,20050101,"DETROIT                       ",899447,82,163,NA,100,1,1,1,"SingleVO",1,6,"male","black","not.hispanic","resident",22,"female","black",0,NA,"6-10","20-30","Pop >500K","Parent",NA,0,"MI","East North Central","Northcentral","Residence/Home","Home","None/Other","None","Child","21163"
"70","MI5205200","F30X04KOZU7I",20110118,19980101,"SP: MARQUETTE COUNTY          ",0,52,103,12,100,1,2,1,"MultVic",1,12,"female","white",NA,NA,41,"male","white",0,NA,"11-15","40-50",NA,"Parent","Morning",0,"MI","East North Central","Northcentral","Residence/Home","Home","None/Other","None","Child","21103"
"71","UT0180000","WI-PR S4I0W5",20120905,20010901,"SALT LAKE CNTY UNIFD PD       ",330217,18,35,8,100,0,3,1,"MultVic",1,8,"male","white",NA,NA,NA,"male",NA,0,NA,"6-10",NA,"Pop 100-500K","Parent","Morning",NA,"UT","Mountain","West","Highway/Road/Alley","Road/transit","None/Other","None","Child","43035"
"72","TNMPD0000","BW0239749JMF",20120328,20000801,"MEMPHIS                       ",657436,79,157,12,100,1,1,1,"SingleVO",1,3,"male","black","not.hispanic","resident",32,"male","black",0,NA,"0-5","30-40","Pop >500K","Parent","Morning",0,"TN","East South Central","South","Residence/Home","Home","None/Other","None","Child","41157"
"73","MI8234900","1W1H04O 8764",20100723,20050101,"DETROIT                       ",899447,82,163,14,100,1,1,1,"SingleVO",1,5,"female","black",NA,"non-resident",27,"male","black",0,NA,"0-5","20-30","Pop >500K","Parent","Afternoon",0,"MI","East North Central","Northcentral","Highway/Road/Alley","Road/transit","None/Other","None","Child","21163"
"74","KS0060100","8T0BYASBK2 N",20120524,20000101,"FORT SCOTT                    ",8031,6,11,13,100,1,1,1,"SingleVO",1,3,"male","black","not.hispanic","resident",22,"female","white",0,NA,"0-5","20-30","Pop <25K","Parent","Afternoon",1,"KS","West North Central","Northcentral","Residence/Home","Home","None/Other","None","Child","15011"
"75","NH0091800","VS-TG89-60VS",20111018,20030101,"NEW DURHAM                    ",2641,9,17,9,100,1,2,2,"MultVO",0,12,"male","white","not.hispanic","resident",38,"male","white",0,3.9,"11-15","30-40","Pop <25K","Parent","Morning",0,"NH","New England","Northeast","Residence/Home","Home","None/Other","None","Child","28017"
"76","MI5915900","390J45HZRD2 ",20110508,19960101,"MONTCALM                      ",46958,59,117,7,100,1,1,1,"SingleVO",1,10,"female","white",NA,"resident",31,"female","white",0,0.1,"6-10","30-40","Pop 25-100K","Parent","Morning",0,"MI","East North Central","Northcentral","Residence/Home","Home","None/Other","None","Child","21117"
"77","TN0150000","TD-AN9K9UCTD",20111202,19970901,"COCKE                         ",28976,15,29,8,100,1,1,1,"SingleVO",1,8,"male","white","not.hispanic","resident",27,"female","white",0,NA,"6-10","20-30","Pop 25-100K","Parent","Morning",0,"TN","East South Central","South","School/College","School","None/Other","None","Child","41029"
"78","MI5080600","WK0ZL6XS3Y4K",20101227,19990101,"WARREN                        ",132266,50,99,12,100,1,1,1,"SingleVO",1,13,"male","black",NA,NA,36,"male","black",0,NA,"11-15","30-40","Pop 100-500K","Parent","Morning",0,"MI","East North Central","Northcentral","Residence/Home","Home","None/Other","None","Child","21099"
"79","MI2539800","181J0U7P7YJR",20120903,20000101,"FLINT                         ",101632,25,49,17,100,1,3,1,"MultVic",0,5,"male","black",NA,"resident",46,"male","black",0,NA,"0-5","40-50","Pop 100-500K","Parent","Afternoon",0,"MI","East North Central","Northcentral","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Child","21049"
"80","TN0630100","XS0NJ6KBB962",20110902,19971201,"CLARKSVILLE                   ",134128,63,125,18,100,1,1,1,"SingleVO",1,2,"male","white","not.hispanic",NA,25,"male","white",0,NA,"0-5","20-30","Pop 100-500K","Parent","Afternoon",0,"TN","East South Central","South","Residence/Home","Home","None/Other","None","Child","41125"
