"","current.population","hour.group","victim.age","victim.sex","victim.race","victim.residency","offender.age","offender.sex","offender.race","multiple.victims","multiple.offenders","relationship.group","division.name","location.group","same.race","target.harm"
"49",30236,"Afternoon",1,"male","white","non-resident",26,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"50",98688,"Night",2,"female","white","resident",37,"male","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"51",172460,"Afternoon",2,"male","white","resident",38,"male","white","Single Victim","Multiple Offenders","Parent","East South Central","Home",0,"0"
"52",652725,"Afternoon",3,"female","black","resident",18,"female","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"53",15183,"Morning",14,"female","white","resident",53,"male","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"54",386409,"Early",1,"male","white","resident",31,"male","black","Single Victim","Single Offender","Parent","West North Central","Other",1,"0"
"55",657436,"Night",3,"female","black","resident",28,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"56",0,"Afternoon",9,"female","white","resident",29,"female","white","Single Victim","Single Offender","Parent","East North Central","Other",0,"0"
"57",88200,"Morning",3,"female","black","resident",28,"female","white","Single Victim","Single Offender","Parent","West North Central","Home",1,"0"
"58",16410,"Night",13,"male","black","resident",37,"female","black","Multiple Victims","Single Offender","Parent","East North Central","Home",0,"0"
"59",657436,"Afternoon",4,"male","black","resident",22,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"60",37113,"Morning",3,"male","black","non-resident",34,"female","black","Multiple Victims","Single Offender","Parent","South Atlantic","Home",0,"0"
"61",899447,"Afternoon",5,"female","black","resident",39,"male","black","Single Victim","Single Offender","Parent","East North Central","Other",0,"0"
"62",88200,"Afternoon",11,"male","white","resident",30,"male","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"63",52330,"Morning",15,"female","black","non-resident",36,"female","black","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"64",673650,"Morning",3,"male","black","resident",27,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"65",59470,"Afternoon",4,"male","white","non-resident",28,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"66",657436,"Afternoon",12,"female","black","resident",47,"female","black","Single Victim","Single Offender","Parent","East South Central","Other",0,"0"
"67",360726,"Afternoon",7,"male","white","resident",24,"female","white","Single Victim","Single Offender","Parent","East North Central","Other",0,"0"
"68",673650,"Night",4,"male","black","non-resident",34,"male","black","Single Victim","Single Offender","Parent","East South Central","Other",0,"0"
"69",713240,"Afternoon",1,"male","black","non-resident",17,"male","black","Single Victim","Single Offender","Parent","East North Central","Other",0,"0"
"70",192465,"Morning",7,"male","white","resident",28,"male","white","Multiple Victims","Single Offender","Parent","Mountain","Other",0,"0"
"71",37000,"Afternoon",15,"male","white","resident",36,"male","white","Single Victim","Single Offender","Parent","Pacific","Home",0,"0"
"72",55463,"Afternoon",11,"female","white","resident",40,"female","white","Multiple Victims","Single Offender","Parent","Pacific","Home",0,"0"
"73",673650,"Night",3,"male","white","non-resident",33,"male","white","Single Victim","Single Offender","Parent","East South Central","Other",0,"0"
"74",5335,"Afternoon",14,"female","amer.indian","resident",35,"male","amer.indian","Single Victim","Single Offender","Parent","Mountain","School/Center",0,"0"
"75",227531,"Afternoon",4,"female","black","resident",29,"female","black","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"76",304177,"Afternoon",6,"female","black","resident",28,"female","black","Single Victim","Single Offender","Parent","West North Central","School/Center",0,"0"
"77",35020,"Night",7,"female","black","resident",31,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"78",657436,"Afternoon",4,"female","black","resident",32,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"79",386409,"Morning",13,"male","black","non-resident",41,"male","black","Single Victim","Single Offender","Parent","West North Central","Other",0,"0"
"80",12606,"Night",1,"female","white","resident",20,"male","white","Single Victim","Multiple Offenders","Parent","East North Central","Home",0,"0"
"81",657436,"Afternoon",9,"female","black","resident",30,"female","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"82",20504,"Afternoon",11,"male","white","resident",32,"male","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"83",4396,"Afternoon",8,"male","white","resident",31,"male","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"84",673650,"Afternoon",5,"male","black","resident",31,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"85",657436,"Morning",3,"female","black","resident",18,"female","black","Multiple Victims","Single Offender","Parent","East South Central","Home",0,"0"
"86",4604,"Morning",2,"male","white","resident",24,"male","white","Single Victim","Single Offender","Parent","New England","Home",0,"0"
"87",40981,"Night",4,"female","white","resident",26,"male","white","Multiple Victims","Single Offender","Parent","West North Central","Other",0,"0"
"88",40490,"Night",0.5,"male","white","resident",37,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"89",657436,"Morning",3,"male","black","resident",20,"female","white","Single Victim","Single Offender","Parent","East South Central","Other",1,"0"
"90",4599,"Afternoon",0.5,"female","white","resident",20,"female","white","Single Victim","Single Offender","Parent","New England","Home",0,"0"
"91",0,"Afternoon",9,"male","white","resident",26,"female","white","Multiple Victims","Single Offender","Parent","East North Central","Home",0,"0"
"92",109245,"Afternoon",6,"female","black","non-resident",41,"female","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"93",17081,"Afternoon",2,"female","white","resident",21,"female","white","Single Victim","Multiple Offenders","Parent","East South Central","Home",0,"0"
"94",35220,"Afternoon",3,"female","white","resident",26,"female","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"95",137356,"Afternoon",9,"male","white","resident",30,"male","white","Single Victim","Single Offender","Parent","East South Central","Other",0,"0"
"96",673650,"Early",5,"female","white","resident",30,"female","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"97",201510,"Morning",13,"female","white","resident",47,"female","white","Single Victim","Multiple Offenders","Parent","Pacific","Home",0,"0"
"98",21060,"Night",7,"female","white","resident",31,"male","white","Single Victim","Single Offender","Parent","East North Central","Other",0,"0"
"99",6465,"Night",5,"female","white","non-resident",25,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"100",657436,"Afternoon",14,"male","black","resident",45,"female","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"101",139078,"Afternoon",10,"female","black","resident",33,"female","black","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"102",154314,"Afternoon",7,"male","black","resident",28,"female","black","Multiple Victims","Single Offender","Parent","New England","Home",0,"0"
"103",270317,"Night",1,"female","white","resident",29,"male","white","Single Victim","Single Offender","Parent","South Atlantic","Other",0,"0"
"104",8607,"Morning",11,"male","white","resident",29,"female","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"105",0,"Afternoon",12,"male","white","resident",44,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"106",16851,"Morning",5,"male","white","resident",30,"female","white","Single Victim","Multiple Offenders","Parent","Mountain","School/Center",0,"0"
"107",4994,"Afternoon",2,"female","white","resident",22,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"108",1055204,"Afternoon",5,"male","black","non-resident",30,"male","black","Single Victim","Single Offender","Parent","South Atlantic","Other",0,"0"
"109",93945,"Night",7,"female","white","resident",45,"male","black","Single Victim","Single Offender","Parent","West North Central","Home",1,"0"
"110",707096,"Afternoon",3,"female","black","resident",23,"male","black","Multiple Victims","Single Offender","Parent","East North Central","Home",0,"0"
"111",15214,"Night",14,"female","white","resident",54,"male","white","Single Victim","Single Offender","Parent","New England","Home",0,"0"
"112",25129,"Afternoon",3,"male","black","resident",26,"female","black","Single Victim","Single Offender","Parent","East North Central","Other",0,"0"
"113",14325,"Night",13,"male","white","non-resident",39,"male","white","Single Victim","Single Offender","Parent","New England","Other",0,"0"
"114",40499,"Early",9,"female","black","resident",30,"male","black","Multiple Victims","Single Offender","Parent","West South Central","Home",0,"0"
"115",673650,"Night",7,"female","white","non-resident",39,"male","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"116",21559,"Morning",11,"female","black","resident",46,"male","black","Single Victim","Multiple Offenders","Parent","East North Central","Home",0,"0"
"117",88200,"Afternoon",7,"male","white","resident",41,"female","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"118",713240,"Morning",4,"male","black","non-resident",33,"female","black","Single Victim","Single Offender","Parent","East North Central","Other",0,"0"
"119",227531,"Afternoon",13,"male","white","resident",39,"male","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"120",80919,"Afternoon",2,"male","black","resident",33,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"121",144545,"Afternoon",4,"female","black","resident",36,"male","black","Single Victim","Single Offender","Parent","South Atlantic","Other",0,"0"
"122",33393,"Morning",14,"male","white","resident",44,"male","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"123",16382,"Afternoon",0.5,"male","white","resident",22,"male","white","Single Victim","Single Offender","Parent","New England","Home",0,"0"
"124",3801,"Afternoon",15,"female","white","resident",47,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"125",707096,"Afternoon",3,"female","black","resident",22,"female","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"126",89180,"Morning",5,"male","white","resident",27,"male","white","Multiple Victims","Single Offender","Parent","West North Central","Home",0,"0"
"127",360726,"Morning",7,"male","black","resident",42,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",1,"0"
"128",34742,"Afternoon",7,"female","black","resident",20,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",1,"0"
"129",41884,"Morning",10,"female","white","resident",28,"female","white","Multiple Victims","Single Offender","Parent","New England","Home",0,"0"
"130",37897,"Night",14,"male","white","resident",37,"male","white","Single Victim","Single Offender","Parent","East North Central","School/Center",0,"0"
"131",657436,"Afternoon",5,"female","black","resident",34,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"132",0,"Night",8,"male","white","resident",31,"female","white","Multiple Victims","Single Offender","Parent","East North Central","Home",0,"0"
"133",190038,"Afternoon",14,"male","white","resident",49,"female","white","Single Victim","Single Offender","Parent","Mountain","School/Center",0,"0"
"134",1072723,"Morning",4,"female","black","resident",34,"female","black","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"135",657436,"Afternoon",1,"female","black","resident",42,"female","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"136",134128,"Morning",10,"female","white","resident",36,"male","white","Multiple Victims","Single Offender","Parent","East South Central","Home",0,"0"
"137",425,"Afternoon",9,"female","white","resident",37,"male","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"138",673650,"Afternoon",14,"male","black","resident",43,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"139",16981,"Night",7,"male","white","resident",27,"female","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"140",713240,"Afternoon",3,"male","white","non-resident",36,"male","black","Single Victim","Multiple Offenders","Parent","East North Central","Home",0,"0"
"141",899447,"Afternoon",11,"female","black","resident",35,"male","black","Single Victim","Multiple Offenders","Parent","East North Central","Other",0,"0"
"142",185554,"Night",9,"male","white","resident",41,"male","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"143",18717,"Afternoon",11,"female","white","non-resident",56,"male","white","Single Victim","Single Offender","Parent","South Atlantic","Other",0,"0"
"144",40823,"Night",7,"male","white","resident",33,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"145",43355,"Afternoon",10,"male","white","resident",39,"male","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"146",899447,"Morning",1,"male","black","resident",24,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"147",108039,"Morning",3,"male","white","resident",50,"male","white","Single Victim","Multiple Offenders","Parent","Mountain","Home",0,"0"
"148",154314,"Afternoon",5,"male","black","resident",31,"male","black","Single Victim","Single Offender","Parent","New England","Other",0,"0"
"149",8031,"Afternoon",3,"male","black","resident",22,"female","white","Single Victim","Single Offender","Parent","West North Central","Home",1,"0"
"150",109245,"Night",2,"female","black","resident",33,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"151",11918,"Afternoon",1,"male","white","resident",33,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",1,"0"
"152",9462,"Afternoon",1,"female","white","resident",40,"male","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"153",673650,"Afternoon",7,"male","black","non-resident",24,"female","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"154",118910,"Morning",11,"male","white","resident",31,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"155",56518,"Night",4,"male","white","resident",33,"male","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"156",115008,"Afternoon",3,"male","black","non-resident",24,"female","black","Single Victim","Single Offender","Parent","East North Central","Other",0,"0"
"157",94380,"Night",15,"female","black","resident",42,"male","black","Single Victim","Single Offender","Parent","New England","Home",0,"0"
"158",899447,"Morning",2,"female","black","resident",35,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"159",0,"Afternoon",14,"female","white","resident",38,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"160",657436,"Afternoon",6,"male","black","resident",34,"female","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"161",132747,"Afternoon",4,"male","white","resident",27,"female","white","Single Victim","Multiple Offenders","Parent","Pacific","Home",0,"0"
"162",19244,"Afternoon",9,"female","black","resident",42,"male","white","Single Victim","Single Offender","Parent","West North Central","Home",1,"0"
"163",26904,"Morning",2,"female","white","resident",20,"male","white","Single Victim","Multiple Offenders","Parent","West North Central","Home",0,"0"
"164",673650,"Afternoon",7,"male","black","resident",36,"male","black","Single Victim","Single Offender","Parent","East South Central","Other",0,"0"
"165",42046,"Morning",2,"female","white","resident",35,"male","white","Single Victim","Single Offender","Parent","New England","Home",0,"0"
"166",85046,"Night",5,"female","white","resident",38,"female","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"167",85866,"Afternoon",1,"male","white","non-resident",23,"female","white","Multiple Victims","Single Offender","Parent","South Atlantic","Home",0,"0"
"168",713240,"Afternoon",6,"female","black","resident",25,"male","black","Single Victim","Single Offender","Parent","East North Central","School/Center",0,"0"
"169",51466,"Afternoon",5,"female","white","resident",26,"female","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"170",62127,"Morning",4,"female","white","resident",24,"female","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"171",181591,"Morning",1,"female","black","resident",25,"female","black","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"172",0,"Afternoon",2,"male","white","non-resident",27,"female","white","Single Victim","Single Offender","Parent","East South Central","Other",0,"0"
"173",652725,"Morning",9,"male","black","resident",26,"female","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"174",2783,"Afternoon",0.5,"female","white","resident",26,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"175",89180,"Afternoon",4,"male","white","resident",25,"female","white","Single Victim","Single Offender","Parent","West North Central","School/Center",0,"0"
"176",673650,"Afternoon",1,"male","black","resident",20,"male","black","Single Victim","Single Offender","Parent","East South Central","Other",0,"0"
"177",190038,"Afternoon",6,"male","asian","resident",30,"male","asian","Single Victim","Single Offender","Parent","Mountain","Home",0,"0"
"178",673650,"Afternoon",0.5,"female","black","resident",21,"male","black","Single Victim","Single Offender","Parent","East South Central","Other",0,"0"
"179",224864,"Morning",10,"male","white","resident",34,"female","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"180",71775,"Afternoon",12,"male","white","resident",30,"female","white","Multiple Victims","Single Offender","Parent","East North Central","Home",0,"0"
"181",713240,"Afternoon",4,"male","white","resident",38,"male","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"182",27863,"Afternoon",15,"female","black","resident",32,"female","black","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"183",0,"Night",0.5,"female","white","resident",32,"male","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"184",657436,"Night",2,"male","black","resident",25,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"185",109736,"Afternoon",4,"female","white","resident",32,"male","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"186",25863,"Night",12,"female","white","resident",32,"female","white","Multiple Victims","Single Offender","Parent","East North Central","Home",0,"0"
"187",652725,"Morning",4,"female","black","non-resident",28,"female","black","Multiple Victims","Single Offender","Parent","East South Central","Home",0,"0"
"188",34681,"Night",5,"female","asian","resident",37,"female","asian","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"189",31558,"Afternoon",15,"female","white","resident",29,"female","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"190",21117,"Morning",1,"male","black","resident",20,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",1,"0"
"191",1072723,"Night",0.5,"male","white","resident",40,"female","white","Single Victim","Single Offender","Parent","South Atlantic","Other",0,"0"
"192",88200,"Afternoon",12,"female","white","resident",40,"female","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"193",225627,"Morning",4,"female","white","resident",22,"female","white","Multiple Victims","Multiple Offenders","Parent","South Atlantic","Home",0,"0"
"194",0,"Afternoon",2,"female","white","resident",26,"male","white","Multiple Victims","Single Offender","Parent","South Atlantic","Home",0,"0"
"195",40743,"Afternoon",11,"male","white","non-resident",38,"male","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"196",76037,"Afternoon",5,"male","white","resident",24,"male","white","Multiple Victims","Single Offender","Parent","Pacific","Home",0,"0"
"197",32511,"Afternoon",8,"female","black","non-resident",26,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"198",673650,"Morning",2,"male","white","resident",24,"male","white","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"199",8683,"Afternoon",3,"female","black","resident",24,"male","black","Multiple Victims","Single Offender","Parent","South Atlantic","Other",0,"0"
"200",21426,"Morning",7,"male","white","resident",42,"female","white","Single Victim","Single Offender","Parent","South Atlantic","Other",0,"0"
"201",673650,"Afternoon",10,"male","black","resident",37,"female","black","Single Victim","Single Offender","Parent","East South Central","School/Center",0,"0"
"202",133955,"Afternoon",0.5,"male","white","resident",20,"male","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"203",673650,"Afternoon",8,"male","black","resident",39,"male","black","Single Victim","Single Offender","Parent","East South Central","Other",0,"0"
"204",5631,"Afternoon",1,"male","white","resident",19,"male","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"205",152910,"Afternoon",15,"male","black","resident",36,"female","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"206",24887,"Night",4,"male","white","resident",26,"female","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"207",27325,"Morning",7,"male","black","resident",24,"female","black","Multiple Victims","Single Offender","Parent","South Atlantic","Home",0,"0"
"208",713240,"Afternoon",9,"female","black","resident",26,"male","black","Multiple Victims","Single Offender","Parent","East North Central","Home",0,"0"
"209",245303,"Night",2,"female","black","resident",22,"female","black","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"210",599395,"Afternoon",0.5,"male","black","resident",35,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"211",0,"Night",1,"female","white","resident",26,"male","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"212",134128,"Morning",2,"male","white","non-resident",30,"male","white","Multiple Victims","Single Offender","Parent","East South Central","Home",0,"0"
"213",154314,"Afternoon",0.5,"male","black","resident",22,"male","black","Single Victim","Single Offender","Parent","New England","Home",0,"0"
"214",93945,"Afternoon",1,"female","white","non-resident",25,"female","white","Single Victim","Single Offender","Parent","West North Central","Home",0,"0"
"215",117278,"Afternoon",11,"male","white","non-resident",53,"male","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"216",135345,"Afternoon",15,"female","black","resident",43,"female","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
"217",99306,"Night",1,"female","black","non-resident",21,"female","black","Single Victim","Single Offender","Parent","South Atlantic","Home",0,"0"
"218",657436,"Morning",8,"male","black","non-resident",36,"male","black","Single Victim","Single Offender","Parent","East South Central","Other",0,"0"
"219",673650,"Morning",4,"female","black","resident",31,"male","black","Single Victim","Single Offender","Parent","East South Central","School/Center",0,"0"
"220",673650,"Afternoon",6,"male","black","resident",28,"male","black","Multiple Victims","Single Offender","Parent","East South Central","Home",0,"0"
"221",38289,"Night",3,"female","white","resident",56,"male","white","Single Victim","Single Offender","Parent","Mountain","Other",0,"0"
"222",8659,"Afternoon",7,"female","white","resident",29,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"223",105095,"Morning",3,"female","white","resident",34,"male","white","Single Victim","Single Offender","Parent","Mountain","Home",0,"0"
"224",14990,"Night",4,"female","white","non-resident",41,"female","white","Single Victim","Single Offender","Parent","West North Central","Other",0,"0"
"225",10405,"Morning",12,"female","white","resident",32,"female","white","Multiple Victims","Single Offender","Parent","East South Central","Other",0,"0"
"226",49220,"Morning",4,"female","asian","resident",31,"male","asian","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"227",5994,"Morning",5,"female","white","resident",38,"female","white","Single Victim","Single Offender","Parent","New England","Home",0,"0"
"228",0,"Afternoon",5,"female","white","resident",28,"male","white","Single Victim","Single Offender","Parent","East North Central","Home",0,"0"
"229",14145,"Night",5,"female","white","resident",31,"male","white","Multiple Victims","Single Offender","Parent","South Atlantic","Home",0,"1"
"230",673650,"Afternoon",2,"female","black","resident",27,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,"0"
