"","population.group","incident.hour","completed","victim.age","victim.sex","victim.race","offender.age","offender.sex","offender.race","multiple.victims","multiple.offenders","relationship.group","division.name","loc.group","same.race","target.harm","cluster"
"33","Pop <25K",18,1,10,"female","white",44,"male","white","Single Victim","Single Offender","Parent","New England","Home",0,1,10
"34","Pop <25K",15,1,3,"male","white",32,"male","white","Multiple Victims","Single Offender","Parent","East South Central","Park/outdoor",0,0,14
"35","Pop 100-500K",0,1,3,"female","black",32,"male","black","Multiple Victims","Single Offender","Parent","Pacific","Home",0,0,5
"36","Pop 100-500K",7,1,6,"female","black",35,"male","black","Single Victim","Single Offender","Parent","South Atlantic","Home",0,0,7
"37","Pop 100-500K",15,1,13,"male","black",39,"female","black","Single Victim","Multiple Offenders","Parent","South Atlantic","Home",0,1,10
"38","Pop >500K",13,1,13,"female","white",50,"male","white","Multiple Victims","Single Offender","Parent","South Atlantic","Home",0,1,3
"39","Pop 100-500K",0,1,3,"female","white",30,"male","white","Multiple Victims","Single Offender","Parent","South Atlantic","Unknown",0,0,5
"40","Pop 25-100K",23,1,15,"female","white",28,"male","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,1,8
"41","Pop <25K",7,1,12,"female","white",42,"male","white","Single Victim","Single Offender","Parent","West North Central","Home",0,1,9
"42","Pop 25-100K",17,1,13,"female","white",31,"male","white","Single Victim","Single Offender","Parent","Pacific","Home",0,0,8
"43","Pop 25-100K",0,1,6,"female","white",31,"male","white","Single Victim","Multiple Offenders","Parent","East North Central","School",0,0,5
"44","Pop 25-100K",2,1,11,"female","white",19,"female","white","Single Victim","Multiple Offenders","Parent","East South Central","Unknown",0,0,2
"46","Pop 100-500K",13,1,14,"male","black",23,"female","black","Single Victim","Multiple Offenders","Parent","New England","Home",0,0,4
"47","Pop 100-500K",8,0,9,"female","black",37,"male","black","Single Victim","Single Offender","Parent","South Atlantic","School",0,0,7
"49","Pop <25K",18,1,7,"female","white",20,"male","white","Single Victim","Multiple Offenders","Parent","South Atlantic","Home",0,0,12
"50","Pop 25-100K",22,1,13,"female","white",32,"male","white","Single Victim","Single Offender","Parent","New England","Home",0,1,8
"51","Pop 25-100K",19,1,7,"female","white",27,"male","white","Single Victim","Single Offender","Parent","West South Central","Home",0,1,14
"52","Pop 100-500K",9,1,15,"male","black",37,"male","black","Single Victim","Single Offender","Parent","West North Central","School",0,0,7
"53","Pop 25-100K",23,1,4,"female","white",36,"female","white","Single Victim","Multiple Offenders","Parent","East North Central","Home",0,0,1
"54","Pop 100-500K",9,1,11,"female","white",33,"male","white","Single Victim","Single Offender","Parent","Pacific","Home",0,0,7
"55","Pop <25K",11,1,4,"male","white",22,"male","white","Multiple Victims","Single Offender","Parent","South Atlantic","Home",0,0,6
"56","Pop 25-100K",8,1,6,"female","white",42,"male","white","Multiple Victims","Single Offender","Parent","East South Central","Home",0,0,9
"57","Pop <25K",11,1,14,"male","white",34,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,0,8
"58","Pop >500K",17,0,2,"female","white",23,"female","white","Single Victim","Multiple Offenders","Parent","East North Central","Other",0,0,12
"60","Pop 25-100K",11,1,0.5,"male","black",18,"male","black","Single Victim","Single Offender","Parent","South Atlantic","Home",0,0,6
"61","Pop >500K",15,1,5,"male","black",27,"female","black","Single Victim","Single Offender","Parent","East South Central","Other",0,0,14
"62","Pop >500K",20,1,3,"female","black",21,"male","black","Single Victim","Single Offender","Parent","East North Central","Road/transit",0,0,12
"63","Pop >500K",16,1,3,"male","white",36,"female","asian","Single Victim","Single Offender","Parent","East South Central","Other",1,0,1
"64","Pop <25K",14,1,11,"female","white",56,"male","white","Single Victim","Single Offender","Parent","South Atlantic","Shopping",0,0,3
"65","Pop >500K",20,1,4,"female","black",19,"female","black","Single Victim","Multiple Offenders","Parent","East North Central","Home",0,0,12
"67","Pop 100-500K",11,1,6,"female","white",28,"male","white","Multiple Victims","Single Offender","Parent","Mountain","School",0,0,13
"68","Pop 100-500K",11,1,6,"female","white",31,"female","white","Multiple Victims","Single Offender","Parent","East North Central","Home",0,0,13
"69","Pop 25-100K",19,1,6,"male","white",25,"female","white","Single Victim","Single Offender","Parent","East South Central","Park/outdoor",0,0,12
"70","Pop <25K",17,1,10,"male","white",34,"female","white","Multiple Victims","Single Offender","Parent","New England","Home",0,0,8
"71","Pop 100-500K",9,1,2,"female","black",22,"female","black","Single Victim","Single Offender","Parent","East North Central","Home",0,0,6
"72","Pop <25K",12,1,12,"female","white",36,"male","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,1,8
"73","Pop 25-100K",8,1,5,"male","white",32,"male","white","Multiple Victims","Single Offender","Parent","New England","Other",0,0,13
"74","Pop 100-500K",9,1,4,"male","white",39,"male","white","Multiple Victims","Single Offender","Parent","South Atlantic","Home",0,0,1
"75","Pop 25-100K",17,0,11,"female","white",41,"female","white","Single Victim","Single Offender","Parent","West North Central","Road/transit",0,1,10
"76","Pop 100-500K",18,1,4,"male","white",28,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,0,14
"77","Pop >500K",14,1,5,"female","black",27,"male","black","Single Victim","Single Offender","Parent","East North Central","Road/transit",0,0,13
"78","Pop 100-500K",14,1,3,"male","black",54,"female","black","Single Victim","Multiple Offenders","Parent","South Atlantic","Other",0,0,11
"79","Pop 100-500K",14,1,4,"female","black",36,"male","black","Single Victim","Single Offender","Parent","South Atlantic","School",0,0,1
"80","Pop 25-100K",19,1,8,"male","white",46,"male","white","Single Victim","Single Offender","Parent","West North Central","Other",0,0,10
"81","Pop 25-100K",17,1,15,"female","white",33,"female","white","Multiple Victims","Single Offender","Parent","East South Central","Home",0,0,8
"82","Pop 25-100K",1,1,7,"female","black",27,"female","black","Multiple Victims","Single Offender","Parent","East North Central","Home",0,0,5
"83","Pop 100-500K",15,1,3,"female","asian",41,"female","white","Multiple Victims","Single Offender","Parent","East North Central","Home",1,0,1
"84","Pop 25-100K",18,1,4,"female","white",30,"male","white","Multiple Victims","Single Offender","Parent","New England","Road/transit",0,1,14
"85","Pop 25-100K",8,1,2,"female","white",32,"male","white","Single Victim","Single Offender","Parent","East North Central","Home",0,0,13
"86","Pop 100-500K",6,1,9,"male","white",38,"male","white","Multiple Victims","Single Offender","Parent","West North Central","Road/transit",0,0,7
"87","Pop <25K",22,1,13,"female","white",41,"female","white","Single Victim","Multiple Offenders","Parent","East South Central","Shopping",0,0,10
"88","Pop <25K",10,1,4,"male","white",25,"female","white","Single Victim","Single Offender","Parent","East South Central","Shopping",0,0,6
"89","Pop >500K",18,0,13,"male","black",38,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,0,10
"90","Pop 25-100K",18,1,5,"male","white",36,"male","white","Multiple Victims","Single Offender","Parent","East North Central","Home",0,0,1
"91","Pop >500K",21,1,0.5,"male","black",44,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,0,1
"92","Pop 100-500K",16,1,0.5,"male","white",28,"male","white","Single Victim","Single Offender","Parent","New England","Home",0,0,14
"94","Pop >500K",16,1,10,"male","black",42,"male","black","Multiple Victims","Single Offender","Parent","South Atlantic","Other",0,0,10
"95","Pop 25-100K",20,1,3,"male","black",34,"male","black","Single Victim","Single Offender","Parent","West North Central","Home",0,0,14
"96","Pop <25K",8,1,5,"female","white",38,"female","white","Single Victim","Single Offender","Parent","New England","Home",0,0,7
"98","Pop >500K",18,1,5,"female","black",39,"male","black","Single Victim","Single Offender","Parent","East North Central","Other",0,0,1
"99","Pop 25-100K",18,1,2,"female","white",28,"male","white","Single Victim","Single Offender","Parent","East North Central","Road/transit",0,0,14
"100","Pop >500K",19,1,3,"male","asian",51,"male","asian","Single Victim","Single Offender","Parent","East North Central","Road/transit",0,0,11
"101","Pop 25-100K",18,1,10,"female","white",37,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,0,8
"102","Pop 100-500K",0,1,2,"male","white",32,"female","white","Multiple Victims","Single Offender","Parent","East North Central","Home",0,0,5
"103","Pop >500K",11,1,0.5,"female","white",27,"male","white","Single Victim","Multiple Offenders","Parent","New England","Home",0,0,6
"104","Pop 100-500K",16,1,12,"female","black",32,"male","black","Multiple Victims","Single Offender","Parent","East North Central","Home",0,0,8
"108","Pop 25-100K",9,1,3,"male","white",27,"male","white","Multiple Victims","Single Offender","Parent","West North Central","Shopping",0,0,13
"109","Pop 25-100K",8,1,4,"male","white",32,"male","white","Multiple Victims","Single Offender","Parent","New England","Other",0,0,13
"111","Pop 25-100K",13,1,0.5,"female","black",36,"male","black","Single Victim","Single Offender","Parent","East North Central","Road/transit",0,0,1
"112","Pop <25K",23,1,5,"female","white",27,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,0,14
"113","Pop 25-100K",17,0,4,"female","white",22,"male","white","Single Victim","Single Offender","Parent","New England","Home",0,0,12
"114","Pop 100-500K",16,1,8,"male","white",32,"male","white","Single Victim","Single Offender","Parent","New England","Home",0,0,8
"115","Pop 100-500K",15,1,0.5,"male","white",31,"female","white","Multiple Victims","Single Offender","Parent","East North Central","Shopping",0,0,14
"117","Pop <25K",13,0,11,"female","white",47,"male","white","Single Victim","Multiple Offenders","Parent","West North Central","Home",0,0,10
"118","Pop 25-100K",15,1,15,"female","white",48,"male","black","Single Victim","Single Offender","Parent","East South Central","Road/transit",1,0,3
"119","Pop 100-500K",18,1,13,"male","white",39,"male","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,0,10
"120","Pop >500K",19,1,2,"female","black",23,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,0,12
"121","Pop 25-100K",14,1,15,"male","white",41,"female","white","Single Victim","Single Offender","Parent","East South Central","Home",0,0,10
"122","Pop >500K",7,1,11,"male","black",33,"female","black","Multiple Victims","Single Offender","Parent","East South Central","Home",0,0,7
"124","Pop >500K",14,0,11,"female","black",25,"male","black","Single Victim","Multiple Offenders","Parent","East North Central","Road/transit",0,0,4
"125","Pop 25-100K",1,1,2,"female","black",22,"female","black","Multiple Victims","Single Offender","Parent","West North Central","Road/transit",0,0,5
"127","Pop <25K",16,1,7,"male","white",35,"male","white","Multiple Victims","Single Offender","Parent","East North Central","Home",0,0,1
"128","Pop 25-100K",23,1,14,"female","white",32,"female","white","Single Victim","Multiple Offenders","Parent","Mountain","Shopping",0,0,8
"129","Pop <25K",18,1,5,"male","white",37,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,0,1
"130","Pop 25-100K",0,1,5,"female","black",21,"female","black","Single Victim","Single Offender","Parent","East North Central","Home",0,0,5
"131","Pop 25-100K",21,1,14,"male","white",35,"female","black","Single Victim","Single Offender","Parent","South Atlantic","Road/transit",1,0,8
"132","Pop 100-500K",14,1,0.5,"male","black",22,"male","black","Single Victim","Single Offender","Parent","New England","Home",0,0,6
"133","Pop <25K",19,1,13,"male","white",39,"male","white","Single Victim","Single Offender","Parent","New England","Road/transit",0,0,10
"135","Pop 100-500K",17,1,3,"female","white",25,"male","white","Single Victim","Single Offender","Parent","New England","Home",0,0,12
"136","Pop 25-100K",22,1,3,"female","white",27,"male","white","Single Victim","Single Offender","Parent","West South Central","Road/transit",0,0,14
"137","Pop <25K",17,1,4,"female","white",23,"male","white","Single Victim","Single Offender","Parent","Pacific","Home",0,0,12
"138","Pop >500K",18,1,10,"male","white",33,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",1,0,8
"139","Pop >500K",17,1,12,"female","white",39,"male","white","Single Victim","Single Offender","Parent","Mountain","Shopping",0,0,10
"140","Pop <25K",19,1,2,"female","white",35,"male","white","Multiple Victims","Single Offender","Parent","West North Central","Road/transit",0,0,1
"141","Pop 100-500K",22,1,2,"male","black",23,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,0,12
"142","Pop <25K",17,0,8,"female","white",45,"female","white","Multiple Victims","Single Offender","Parent","New England","Home",0,1,10
"143","Pop 100-500K",16,1,14,"female","black",31,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,0,8
"144","Pop 100-500K",12,1,13,"male","black",36,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,0,8
"145","Pop >500K",19,1,9,"female","black",41,"male","black","Single Victim","Single Offender","Parent","East South Central","Other",0,0,10
"146","Pop >500K",18,1,2,"male","black",20,"female","black","Single Victim","Single Offender","Parent","East South Central","Home",0,0,12
"148","Pop <25K",14,1,6,"male","white",29,"male","white","Single Victim","Single Offender","Parent","East North Central","Unknown",0,0,13
"149","Pop >500K",8,1,2,"female","black",34,"male","black","Single Victim","Single Offender","Parent","East South Central","Shopping",0,0,13
"151","Pop <25K",10,1,11,"female","black",36,"male","black","Single Victim","Single Offender","Parent","West North Central","Shopping",0,0,7
"153","Pop <25K",0,0,6,"male","white",39,"male","white","Single Victim","Multiple Offenders","Parent","West South Central","Home",0,1,7
"154","Pop 100-500K",12,1,9,"female","black",37,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,0,1
"155","Pop 100-500K",17,1,5,"male","white",30,"male","white","Multiple Victims","Single Offender","Parent","West South Central","Shopping",0,0,14
"156","Pop <25K",19,1,4,"female","white",35,"male","white","Multiple Victims","Single Offender","Parent","West North Central","Road/transit",0,0,1
"158","Pop 100-500K",8,1,1,"female","black",21,"male","black","Single Victim","Single Offender","Parent","New England","Home",0,0,6
"159","Pop 25-100K",12,1,0.5,"female","white",29,"female","white","Multiple Victims","Single Offender","Parent","West North Central","Home",0,0,13
"160","Pop >500K",9,1,7,"female","black",31,"female","black","Single Victim","Single Offender","Parent","East South Central","Home",0,0,13
"161","Pop >500K",18,1,7,"male","black",36,"male","black","Single Victim","Single Offender","Parent","East South Central","Road/transit",0,0,1
"162","Pop 25-100K",17,1,10,"male","black",33,"female","white","Multiple Victims","Single Offender","Parent","East North Central","Home",1,0,8
"163","Pop 25-100K",10,1,3,"male","white",26,"male","white","Multiple Victims","Single Offender","Parent","East South Central","Home",0,0,6
"164","Pop 100-500K",21,1,1,"female","white",36,"male","white","Single Victim","Single Offender","Parent","East North Central","Home",0,0,1
"165","Pop >500K",17,1,3,"female","black",23,"male","black","Multiple Victims","Single Offender","Parent","East North Central","Home",0,0,12
"166","Pop <25K",10,1,2,"female","white",25,"female","white","Single Victim","Single Offender","Parent","West North Central","Home",0,0,6
"167","Pop <25K",20,1,1,"male","white",22,"female","white","Single Victim","Multiple Offenders","Parent","East South Central","Road/transit",0,0,12
"168","Pop <25K",16,1,7,"male","white",46,"male","white","Single Victim","Single Offender","Parent","New England","Other",0,0,10
"169","Pop <25K",13,1,14,"female","white",44,"female","white","Single Victim","Single Offender","Parent","West South Central","Home",0,0,10
"170","Pop 25-100K",13,1,7,"male","white",27,"female","white","Multiple Victims","Single Offender","Parent","East North Central","Home",0,0,13
"171","Pop 25-100K",1,1,3,"male","black",22,"female","black","Multiple Victims","Single Offender","Parent","West North Central","Road/transit",0,0,5
"172","Pop >500K",16,1,1,"male","black",20,"male","black","Single Victim","Single Offender","Parent","East South Central","Shopping",0,0,12
"173","Pop 25-100K",21,1,11,"male","white",68,"male","white","Multiple Victims","Single Offender","Parent","South Atlantic","Road/transit",0,0,15
"174","Pop >500K",16,1,4,"female","black",27,"male","black","Single Victim","Multiple Offenders","Parent","East North Central","Home",0,0,14
"175","Pop 25-100K",12,1,9,"male","white",40,"male","white","Single Victim","Single Offender","Parent","West North Central","Road/transit",0,0,10
"176","Pop <25K",16,1,8,"female","white",30,"female","white","Single Victim","Single Offender","Parent","West North Central","Home",0,0,14
"177","Pop 25-100K",18,1,14,"male","white",33,"male","white","Single Victim","Single Offender","Parent","East North Central","Home",0,0,8
"178","Pop >500K",15,1,8,"female","black",32,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,0,8
"179","Pop 100-500K",14,1,14,"female","white",34,"male","white","Single Victim","Multiple Offenders","Parent","East North Central","Home",0,1,8
"180","Pop 100-500K",8,1,4,"female","white",33,"male","white","Multiple Victims","Single Offender","Parent","West North Central","Home",0,0,13
"182","Pop 100-500K",22,1,10,"female","black",36,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,0,8
"183","Pop 25-100K",16,0,1,"male","white",29,"female","white","Multiple Victims","Single Offender","Parent","Mountain","Home",0,0,14
"184","Pop <25K",13,1,13,"female","white",36,"female","white","Single Victim","Single Offender","Parent","New England","Other",0,0,8
"185","Pop 25-100K",14,1,5,"female","white",23,"male","white","Single Victim","Single Offender","Parent","Mountain","Home",0,0,6
"186","Pop 25-100K",12,1,1,"male","white",38,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,0,1
"187","Pop 100-500K",19,1,1,"female","white",24,"female","white","Single Victim","Single Offender","Parent","South Atlantic","Home",0,0,12
"189","Pop >500K",0,1,5,"male","black",37,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,0,7
"190","Pop 100-500K",17,1,6,"male","white",27,"female","white","Multiple Victims","Single Offender","Parent","East North Central","Home",0,0,14
"191","Pop 25-100K",0,1,14,"female","black",37,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,0,7
"192","Pop 100-500K",19,1,2,"female","white",23,"male","white","Single Victim","Single Offender","Parent","Mountain","Road/transit",0,0,12
"194","Pop 100-500K",16,1,9,"female","black",36,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,0,8
"196","Pop <25K",15,1,6,"male","white",31,"female","white","Single Victim","Single Offender","Parent","East North Central","Road/transit",0,0,14
"197","Pop >500K",20,1,0.5,"male","white",40,"female","white","Single Victim","Single Offender","Parent","South Atlantic","Other",0,0,1
"198","Pop 25-100K",17,0,11,"female","white",33,"male","white","Multiple Victims","Single Offender","Parent","Mountain","Road/transit",0,0,8
"199","Pop 25-100K",19,1,10,"male","white",41,"female","white","Single Victim","Single Offender","Parent","West North Central","Home",0,0,10
"200","Pop >500K",17,1,1,"male","black",24,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,0,12
"202","Pop >500K",18,1,10,"male","black",32,"male","black","Multiple Victims","Single Offender","Parent","East South Central","Home",0,0,8
"203","Pop 100-500K",9,1,3,"female","black",23,"female","black","Single Victim","Single Offender","Parent","East South Central","Home",0,0,6
"204","Pop 25-100K",17,1,2,"female","black",21,"female","black","Single Victim","Single Offender","Parent","East North Central","Home",0,0,12
"205","Pop >500K",18,1,15,"male","black",35,"female","black","Single Victim","Single Offender","Parent","East South Central","Home",0,0,8
"206","Pop <25K",19,1,15,"male","white",38,"female","white","Multiple Victims","Multiple Offenders","Parent","Mountain","Shopping",0,0,10
"207","Pop 100-500K",17,1,1,"female","black",32,"male","black","Single Victim","Single Offender","Parent","East North Central","Home",0,0,14
"208","Pop 25-100K",1,1,3,"female","black",27,"female","black","Multiple Victims","Single Offender","Parent","East North Central","Home",0,0,5
"209","Pop 25-100K",12,1,15,"male","white",33,"female","white","Single Victim","Single Offender","Parent","East South Central","Home",0,0,8
"210","Pop <25K",18,1,5,"female","white",28,"female","white","Single Victim","Single Offender","Parent","West North Central","Home",0,0,14
"211","Pop <25K",20,1,1,"male","white",22,"male","white","Single Victim","Multiple Offenders","Parent","East South Central","Road/transit",0,0,12
"212","Pop 25-100K",20,1,7,"female","white",33,"female","white","Multiple Victims","Single Offender","Parent","New England","Home",0,0,14
"214","Pop 25-100K",8,1,9,"male","white",42,"male","white","Single Victim","Single Offender","Parent","East North Central","Home",0,0,9
"215","Pop >500K",18,1,7,"male","black",38,"male","black","Multiple Victims","Single Offender","Parent","East North Central","Home",0,0,1
"216","Pop 25-100K",11,1,13,"male","black",54,"male","black","Multiple Victims","Single Offender","Parent","East North Central","Home",0,0,3
"217","Pop >500K",14,1,3,"female","white",33,"male","white","Multiple Victims","Single Offender","Parent","East South Central","School",0,0,13
"218","Pop 100-500K",20,1,0.5,"male","black",23,"male","black","Multiple Victims","Single Offender","Parent","East South Central","Home",0,0,12
"220","Pop 100-500K",9,1,8,"male","black",37,"female","black","Single Victim","Single Offender","Parent","South Atlantic","Home",0,0,7
"221","Pop >500K",21,1,2,"male","white",21,"male","white","Single Victim","Single Offender","Parent","East South Central","Home",0,0,12
"222","Pop 25-100K",9,1,2,"female","white",35,"male","white","Single Victim","Single Offender","Parent","New England","Home",0,0,13
"223","Pop 100-500K",18,1,2,"male","black",21,"male","black","Single Victim","Single Offender","Parent","South Atlantic","Shopping",0,1,12
"224","Pop 100-500K",14,1,11,"male","white",53,"male","white","Single Victim","Single Offender","Parent","East North Central","Home",0,0,3
"225","Pop 100-500K",10,1,6,"female","white",35,"male","white","Multiple Victims","Single Offender","Parent","South Atlantic","School",0,0,13
"226","Pop 100-500K",0,1,8,"female","black",31,"male","black","Multiple Victims","Single Offender","Parent","East North Central","Home",0,0,5
"227","Pop 25-100K",8,1,13,"female","white",28,"female","white","Multiple Victims","Multiple Offenders","Parent","Mountain","Home",0,0,2
"228","Pop 25-100K",8,1,3,"male","white",22,"male","white","Single Victim","Single Offender","Parent","New England","Home",0,0,6
"229","Pop 100-500K",15,1,9,"female","white",39,"male","black","Multiple Victims","Single Offender","Parent","New England","Home",1,0,10
"230","Pop 100-500K",8,1,5,"female","white",25,"male","black","Single Victim","Single Offender","Parent","South Atlantic","Home",1,0,6
"231","Pop 25-100K",17,0,8,"male","white",33,"male","white","Multiple Victims","Single Offender","Parent","Mountain","Road/transit",0,0,8
"232","Pop <25K",0,1,7,"female","white",31,"male","white","Single Victim","Single Offender","Parent","East North Central","Road/transit",0,0,5
"233","Pop >500K",20,1,3,"male","white",33,"male","white","Single Victim","Single Offender","Parent","East South Central","Shopping",0,0,14
"235","Pop 100-500K",22,1,4,"male","white",34,"male","white","Single Victim","Single Offender","Parent","Mountain","Home",0,0,14
"237","Pop <25K",9,1,1,"male","white",35,"male","black","Single Victim","Single Offender","Parent","New England","Home",1,0,13
"238","Pop 100-500K",9,1,9,"male","black",44,"male","black","Single Victim","Single Offender","Parent","West North Central","Home",0,0,9
"239","Pop <25K",12,0,11,"female","white",35,"female","white","Multiple Victims","Multiple Offenders","Parent","East North Central","Home",0,0,8
"240","Pop <25K",8,1,4,"female","white",31,"male","white","Single Victim","Multiple Offenders","Parent","East North Central","Home",0,0,13
"241","Pop 25-100K",13,1,9,"female","white",47,"female","white","Single Victim","Single Offender","Parent","East North Central","Home",0,0,10
"242","Pop >500K",8,1,4,"male","black",37,"male","black","Single Victim","Single Offender","Parent","East South Central","Home",0,0,7
"243","Pop 100-500K",8,1,13,"male","black",41,"male","black","Single Victim","Single Offender","Parent","West North Central","Shopping",0,0,9
"244","Pop >500K",11,1,4,"male","black",33,"female","black","Single Victim","Single Offender","Parent","East North Central","Other",0,0,13
"245","Pop 100-500K",22,1,9,"male","white",43,"male","white","Multiple Victims","Single Offender","Parent","East North Central","Home",0,0,10
"247","Pop 25-100K",12,1,5,"female","white",46,"female","white","Multiple Victims","Single Offender","Parent","East South Central","Other",0,0,11
"248","Pop <25K",18,1,12,"male","white",42,"female","white","Single Victim","Single Offender","Parent","West North Central","Home",0,0,10
"249","Pop <25K",12,1,3,"female","white",29,"female","white","Single Victim","Single Offender","Parent","New England","Other",0,0,13
"250","Pop <25K",17,0,4,"female","white",45,"female","white","Multiple Victims","Single Offender","Parent","New England","Home",0,1,11
"251","Pop 100-500K",17,1,6,"female","black",41,"female","black","Single Victim","Single Offender","Parent","East North Central","Home",0,0,1
"252","Pop 100-500K",0,1,9,"female","white",33,"female","white","Multiple Victims","Single Offender","Parent","East North Central","Home",0,0,7
"253","Pop 25-100K",12,1,0.5,"male","white",28,"female","white","Multiple Victims","Single Offender","Parent","East South Central","Other",0,0,13
"254","Pop >500K",15,1,2,"male","black",27,"male","black","Single Victim","Single Offender","Parent","East South Central","Road/transit",0,0,14
"255","Pop 100-500K",18,1,0.5,"male","white",22,"female","white","Multiple Victims","Single Offender","Parent","East North Central","Home",0,0,12
