"","originating.agency","incident.number","incident.date","date.agency.went.NIBRS","city","current.population","UCR.county","FIPS.county","incident.hour","UCR.code","completed","victim.age","victim.sex","victim.race","victim.ethnicity","victim.residency","offender.age","offender.sex","offender.race","target.harm","target.arrest","multiple.victims","multiple.offenders","type","victimage.group","victim.tenderage","offenderage.group","population.group","relationship.group","hour.group","NA","same.race","state.name","division.name","region.name","location.name","loc.group","weapon.name","injury.name","Victim.in.relation","FIPS"
"25","VA1170000","381025YPX7X8",20101121,19990801,"NORFOLK                       ",234100,NA,NA,14,100,1,5,"female","black",0,"resident",34,"male","black",0,NA,1,1,"SingleVO","0-5","Yes","30-40","Pop 100-500K","Parent","Afternoon",0,0,"VA","South Atlantic","South","Highway/Road/Alley","Road/transit","None/Other","None","Stepchild","45 NA"
"26","WA0270300","8N0QYVEDQ2 N",20110218,20070101,"TACOMA                        ",201510,27,53,0,100,1,5,"male","white",0,"resident",26,"male","white",1,0,2,1,"MultVic","0-5","Yes","20-30","Pop 100-500K","Parent","Night",0,0,"WA","Pacific","West","Residence/Home","Home","Knife/Cutting Instrument","None","Stepchild","46053"
"27","KS0870300","8ICB0WBMQ 8N",20100917,20001101,"WICHITA                       ",376880,87,173,9,100,1,15,"male","black",0,"resident",37,"male","black",0,NA,1,1,"SingleVO","11-15","No","30-40","Pop 100-500K","Parent","Morning",0,0,"KS","West North Central","Northcentral","School/College","School","None/Other","None","Stepchild","15173"
"28","VA0290100","O20224VOBK73",20090816,20000101,"FAIRFAX COUNTY PD             ",986646,30,59,0,100,1,11,"female","white",1,"resident",28,"male","white",1,62.1,1,1,"SingleVO","11-15","Yes","20-30","Pop >500K","Parent","Night",0,0,"VA","South Atlantic","South","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","Possible Internal Injury","Stepchild","45059"
"29","NB0010100","PW9H057CTD1A",20090104,20020701,"HASTINGS                      ",25476,1,1,14,100,1,9,"female","white",1,"resident",41,"male","white",0,NA,1,2,"MultOff","6-10","Yes","40-50","Pop 25-100K","Parent","Afternoon",0,0,"NE","West North Central","Northcentral","Residence/Home","Home","None/Other","None","Stepchild","26001"
"30","ID0100000","2W1J06KUID1A",20120430,19930101,"BONNEVILLE                    ",48452,10,19,15,100,1,13,"female","white",0,"resident",33,"female","white",0,NA,2,1,"MultVic","11-15","No","30-40","Pop 25-100K","Parent","Afternoon",0,0,"ID","Mountain","West","Residence/Home","Home","None/Other","None","Stepchild","11019"
"31","ID0280000"," I-0UWM16X I",20110924,19930901,"KOOTENAI                      ",58653,28,55,17,100,1,6,"male","white",1,"resident",46,"male","white",0,NA,1,1,"SingleVO","6-10","Yes","40-50","Pop 25-100K","Parent","Afternoon",0,0,"ID","Mountain","West","Highway/Road/Alley","Road/transit","Personal Weapons (hands, feet, teeth, etc.)","None","Stepchild","11055"
"32","NH0101800","A1-RVSEAB IY",20090429,20030101,"NEWPORT                       ",6550,10,19,19,100,1,13,"male","white",0,"resident",49,"male","white",1,0,1,1,"SingleVO","11-15","No","40-50","Pop <25K","Parent","Night",0,0,"NH","New England","Northeast","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","Apparent Minor Injury","Stepchild","28019"
"33","VA0290100","0W900672862X",20090816,20000101,"FAIRFAX COUNTY PD             ",986646,30,59,0,100,1,11,"female","white",1,"resident",28,"male","white",1,NA,1,1,"SingleVO","11-15","Yes","20-30","Pop >500K","Parent","Night",0,0,"VA","South Atlantic","South","Other/unknown","Unknown","Personal Weapons (hands, feet, teeth, etc.)","Possible Internal Injury","Stepchild","45059"
"34","KY0550200","0A6U740UTD1A",20121219,20120101,"JACKSON COUNTY POL DEPT       ",0,55,109,21,100,1,3,"female","white",0,"resident",21,"male","white",0,NA,1,1,"SingleVO","0-5","Yes","20-30",NA,"Parent","Night",0,0,"KY","East South Central","South","Residence/Home","Home",NA,"None","Stepchild","16109"
"35","KS0520100","7S2NR6KHPU72",20120819,20000101,"LEAVENWORTH                   ",35857,52,103,14,100,1,12,"female","black",0,"resident",37,"male","black",0,NA,1,3,"MultOff","11-15","Yes","30-40","Pop 25-100K","Parent","Afternoon",0,0,"KS","West North Central","Northcentral","Highway/Road/Alley","Road/transit",NA,"None","Stepchild","15103"
"36","KS0870000","FZSNJ 7Y6-F3",20120317,20011201,"SEDGWICK                      ",37741,87,173,2,100,1,15,"female","white",0,"non-resident",35,"male","white",1,0,1,1,"SingleVO","11-15","No","30-40","Pop 25-100K","Parent","Early",0,0,"KS","West North Central","Northcentral","Highway/Road/Alley","Road/transit","Motor Vehicle","None","Stepchild","15173"
"37","VA0650000","5F19-0W5UL6S",20100215,19960601,"NORTHAMPTON                   ",10719,66,131,11,100,1,4,"male","white",1,"resident",22,"male","white",0,0,2,1,"MultVic","0-5","Yes","20-30","Pop <25K","Parent","Morning",0,0,"VA","South Atlantic","South","Residence/Home","Home","None/Other","Apparent Minor Injury","Stepchild","45131"
"38","SC0320700","18-HP-70TD1A",20120116,19910101,"IRMO                          ",7110,40,79,21,100,1,15,"female","black",0,"resident",38,"male","black",1,NA,1,1,"SingleVO","11-15","No","30-40","Pop <25K","Parent","Night",0,0,"SC","South Atlantic","South","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","Possible Internal Injury","Stepchild","39079"
"39","VA1030000"," X0BEAZRV2 N",20091117,19990101,"CHESAPEAKE                    ",223261,NA,NA,13,100,1,10,"male","black",0,"resident",42,"female","black",0,NA,1,2,"MultOff","6-10","Yes","40-50","Pop 100-500K","Parent","Afternoon",0,0,"VA","South Atlantic","South","School/College","School","None/Other","None","Stepchild","45 NA"
"40","OR0240200","8N0QAWEC72 N",20111105,20031001,"SALEM                         ",131786,24,47,9,100,1,11,"female","white",NA,NA,33,"male","white",0,NA,1,1,"SingleVO","11-15","Yes","30-40","Pop 100-500K","Parent","Morning",0,0,"OR","Pacific","West","Residence/Home","Home","None/Other","None","Stepchild","36047"
"41","LA0080100","0A1H0-X ZG1A",20101105,20020101,"BOSSIER CITY                  ",64232,8,15,19,100,1,7,"female","white",0,"resident",27,"male","white",1,NA,1,1,"SingleVO","6-10","Yes","20-30","Pop 25-100K","Parent","Night",0,0,"LA","West South Central","South","Residence/Home","Home","None/Other","Apparent Minor Injury","Stepchild","17015"
"42","VA1170000","0G0NPHFNZ70W",20090709,19990801,"NORFOLK                       ",235097,NA,NA,12,100,1,12,"female","black",0,"resident",31,"male","black",1,53.9,1,1,"SingleVO","11-15","Yes","30-40","Pop 100-500K","Parent","Morning",0,0,"VA","South Atlantic","South","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Stepchild","45 NA"
"43","VA0750100","8T0BAFQD72 N",20120513,19961101,"MANASSAS                      ",39733,NA,NA,23,100,1,15,"female","white",1,"resident",28,"male","white",1,0,1,1,"SingleVO","11-15","No","20-30","Pop 25-100K","Parent","Night",0,0,"VA","South Atlantic","South","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","Apparent Minor Injury","Stepchild","45 NA"
"44","VA0290100","2W1H0O8296KA",20100326,20000101,"FAIRFAX COUNTY PD             ",1009834,30,59,13,100,1,13,"female","white",1,"resident",50,"male","white",1,5,2,1,"MultVic","11-15","No","40-50","Pop >500K","Parent","Afternoon",0,0,"VA","South Atlantic","South","Residence/Home","Home","None/Other","None","Stepchild","45059"
"45","VA0920100","CI0IRYTQG2 N",20090730,19961101,"BLUEFIELD                     ",5122,93,185,2,100,1,8,"male","white",0,"resident",32,"male","white",0,NA,1,2,"MultOff","6-10","Yes","30-40","Pop <25K","Parent","Early",0,0,"VA","South Atlantic","South","Drug Store/Drs Office/Hospital","Shopping",NA,"Apparent Minor Injury","Stepchild","45185"
"46","CT0002700","VF--F08-60VS",20100216,20011201,"CLINTON                       ",13832,4,7,18,100,1,10,"female","white",1,"non-resident",44,"male","white",1,3.3,1,1,"SingleVO","6-10","Yes","40-50","Pop <25K","Parent","Afternoon",0,0,"CT","New England","Northeast","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Stepchild","06007"
"47","VA0290100","3A0AA5F39G1I",20091115,20000101,"FAIRFAX COUNTY PD             ",986646,30,59,15,100,1,7,"female","white",1,"resident",29,"male","white",1,0.6,1,1,"SingleVO","6-10","Yes","20-30","Pop >500K","Parent","Afternoon",0,0,"VA","South Atlantic","South","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","Other Major Injury","Stepchild","45059"
"48","UT0290100","9N-IN4K8F39G",20101020,20010801,"OGDEN                         ",81431,29,57,21,100,1,12,"female","white",0,NA,39,"male","white",0,NA,1,1,"SingleVO","11-15","Yes","30-40","Pop 25-100K","Parent","Night",0,0,"UT","Mountain","West","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Stepchild","43057"
"49","MT0270300","2W81TU720XXO",20080501,20041221,"TROY                          ",985,27,53,NA,100,1,8,"male","white",0,"resident",57,"male","white",1,0.1,1,1,"SingleVO","6-10","Yes",">50","Pop <25K","Parent",NA,0,0,"MT","Mountain","West","Residence/Home","Home","None/Other","Apparent Minor Injury","Stepchild","25053"
"50","MI2583900","9G1W8JKL6ITN",20110302,19970101,"BURTON                        ",29976,25,49,19,100,1,17,"male","black",NA,"non-resident",40,"male","black",1,NA,1,1,"SingleVO","11-15","No","30-40","Pop 25-100K","Parent","Night",0,0,"MI","East North Central","Northcentral","Highway/Road/Alley","Road/transit","Handgun","Apparent Minor Injury","Stepchild","21049"
"51","CT0009300"," N0IRYSC6X N",20090530,19990501,"NEW HAVEN                     ",123659,5,9,21,100,1,15,"female","black",0,"resident",41,"male","black",1,NA,1,1,"SingleVO","11-15","No","40-50","Pop 100-500K","Parent","Night",0,0,"CT","New England","Northeast","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Stepchild","06009"
"52","TNMPD0000","BW023TG69EMF",20120417,20000801,"MEMPHIS                       ",657436,79,157,11,100,1,5,"female","black",0,"resident",24,"male","black",1,0,1,1,"SingleVO","0-5","Yes","20-30","Pop >500K","Parent","Morning",0,0,"TN","East South Central","South","School/College","School","None/Other","Apparent Minor Injury","Stepchild","41157"
"53","DE0031300","TN0IRVZQV- N",20090314,20010101,"GEORGETOWN                    ",5277,3,5,1,100,1,16,"female","white",0,"non-resident",42,"male","white",1,1.4,1,1,"SingleVO","11-15","No","40-50","Pop <25K","Parent","Night",0,0,"DE","South Atlantic","South","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","Apparent Minor Injury","Stepchild","07005"
"54","KYKSP0100","5M527UIN1AEM",20120608,20090101,"SP: MAYFIELD                  ",0,NA,NA,12,100,1,17,"male","white",0,"resident",42,"male","white",0,0,1,2,"MultOff","11-15","No","40-50",NA,"Parent","Morning",0,0,"KY","East South Central","South","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Stepchild","16 NA"
"55","CT0010300","8N0BRFTCP0 N",20110903,19991001,"NORWALK                       ",85761,1,1,14,100,1,17,"female","white",1,"resident",49,"male","white",1,0,1,1,"SingleVO","11-15","No","40-50","Pop 25-100K","Parent","Afternoon",0,0,"CT","New England","Northeast","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Stepchild","06001"
"56","KYKSP0700","9D1K9WY2SCTD",20100120,20090101,"SP: RICHMOND                  ",0,NA,NA,21,100,1,12,"female","white",0,"resident",40,"male","white",1,0.1,1,1,"SingleVO","11-15","Yes","30-40",NA,"Parent","Night",0,0,"KY","East South Central","South","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","Possible Internal Injury","Stepchild","16 NA"
"57","TNMPD0000","BR093U779EMF",20110530,20000801,"MEMPHIS                       ",652725,79,157,16,100,1,14,"male","white",0,"resident",64,"male","white",0,NA,1,1,"SingleVO","11-15","No",">50","Pop >500K","Parent","Afternoon",0,0,"TN","East South Central","South","Residence/Home","Home","None/Other","None","Stepchild","41157"
"58","UT0250000","8NU8RYQQQ28 ",20110422,20070101,"UTAH                          ",37460,25,49,17,100,1,17,"male","white",0,"resident",46,"male","white",0,0,1,1,"SingleVO","11-15","No","40-50","Pop 25-100K","Parent","Afternoon",0,0,"UT","Mountain","West","Highway/Road/Alley","Road/transit","None/Other","None","Stepchild","43049"
"59","WV0200200","GN0B1EEQT2 N",20100727,19981001,"CHARLESTON                    ",50822,20,39,14,100,1,2,"male","white",0,"resident",22,"female","white",0,NA,1,1,"SingleVO","0-5","Yes","20-30","Pop 25-100K","Parent","Afternoon",0,0,"WV","South Atlantic","South","Residence/Home","Home","None/Other","None","Stepchild","47039"
"60","WA0270300","1A20507UUD1A",20110827,20070101,"TACOMA                        ",201510,27,53,0,100,1,3,"female","black",0,"resident",32,"male","black",0,0,2,1,"MultVic","0-5","Yes","30-40","Pop 100-500K","Parent","Night",0,0,"WA","Pacific","West","Residence/Home","Home","None/Other","None","Stepchild","46053"
"61","TN0820100","RU00G5H7OP3T",20090802,19981101,"BRISTOL                       ",25859,82,163,5,100,1,15,"female","white",0,"resident",32,"female","white",0,27.3,1,2,"MultOff","11-15","No","30-40","Pop 25-100K","Parent","Early",0,0,"TN","East South Central","South","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Stepchild","41163"
"62","KS0280100","103MLU7NLD1A",20101106,20000101,"GARDEN CITY                   ",28736,28,55,18,100,1,15,"female","white",0,"resident",27,"male","black",1,0.6,1,2,"MultOff","11-15","No","20-30","Pop 25-100K","Parent","Afternoon",1,1,"KS","West North Central","Northcentral","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","Severe Laceration","Stepchild","15055"
"63","KS0520300"," D-Q-BB 728N",20081005,20000101,"LANSING                       ",10815,52,103,1,100,1,17,"female","asian",0,"resident",41,"female","white",1,NA,1,2,"MultOff","11-15","No","40-50","Pop <25K","Parent","Night",1,1,"KS","West North Central","Northcentral","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","Apparent Minor Injury","Stepchild","15103"
"64","VA0750300"," X0 AOEQ72 N",20090222,20000101,"PRINCE WILLIAM COUNTY PD      ",368971,77,153,3,100,1,12,"female","white",0,"resident",29,"male","white",1,0,1,1,"SingleVO","11-15","Yes","20-30","Pop 100-500K","Parent","Early",0,0,"VA","South Atlantic","South","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Stepchild","45153"
"65","VA0750300","8T0VKYZR72 N",20120325,20000101,"PRINCE WILLIAM COUNTY PD      ",415028,77,153,23,100,1,12,"female","white",0,"resident",26,"male","white",1,0,1,1,"SingleVO","11-15","Yes","20-30","Pop 100-500K","Parent","Night",0,0,"VA","South Atlantic","South","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","Apparent Minor Injury","Stepchild","45153"
"66","KY0760200","5M5UF 761AEM",20120306,20000101,"RICHMOND                      ",31890,76,151,17,100,1,3,"male","white",0,"resident",35,"male","white",0,0,1,1,"SingleVO","0-5","Yes","30-40","Pop 25-100K","Parent","Afternoon",0,0,"KY","East South Central","South","Residence/Home","Home","None/Other","None","Stepchild","16151"
"67","KY0850000","0A2IL0KPTD1A",20101013,20090101,"METCALFE                      ",8453,85,169,8,100,1,17,"female","white",0,"resident",42,"male","white",0,0,1,1,"SingleVO","11-15","No","40-50","Pop <25K","Parent","Morning",0,0,"KY","East South Central","South","Residence/Home","Home","None/Other","None","Stepchild","16169"
"68","KY0040000","5M55RN7G1AEM",20120507,20090101,"BALLARD                       ",7262,4,7,11,100,1,8,"female","white",0,"resident",35,"female","white",0,NA,1,1,"SingleVO","6-10","Yes","30-40","Pop <25K","Parent","Morning",0,0,"KY","East South Central","South","Residence/Home","Home","None/Other","None","Stepchild","16007"
"69","VA0750300","8T0GAOQL72 N",20120411,20000101,"PRINCE WILLIAM COUNTY PD      ",415028,77,153,15,100,1,13,"male","black",0,"resident",39,"female","black",1,0,1,2,"MultOff","11-15","No","30-40","Pop 100-500K","Parent","Afternoon",0,0,"VA","South Atlantic","South","Residence/Home","Home","None/Other","Apparent Minor Injury","Stepchild","45153"
"70","OHCLP0000","Z80 4KYEUZ2T",20080717,20030101,"CLEVELAND                     ",433452,18,35,16,100,1,10,"female","black",NA,"resident",32,"male","black",1,0.4,2,1,"MultVic","6-10","Yes","30-40","Pop 100-500K","Parent","Afternoon",0,0,"OH","East North Central","Northcentral","Residence/Home","Home","Personal Weapons (hands, feet, teeth, etc.)","None","Stepchild","34035"
"71","MI1124900","6L0IYBRVZQ6F",20090210,19960101,"BENTON TOWNSHIP               ",15043,11,21,17,100,1,17,"male","black",NA,NA,44,"male","black",1,NA,2,1,"MultVic","11-15","No","40-50","Pop <25K","Parent","Afternoon",0,0,"MI","East North Central","Northcentral","Residence/Home","Home","Knife/Cutting Instrument","Severe Laceration","Stepchild","21021"
"72","MI6381500","1W1H0U728GBO",20100110,19970101,"WEST BLOOMFIELD TOWNSHIP      ",63345,63,125,0,100,1,9,"female","black",0,"resident",53,"male","black",0,NA,2,2,"MultVO","6-10","Yes",">50","Pop 25-100K","Parent","Night",0,0,"MI","East North Central","Northcentral","Residence/Home","Home","None/Other","None","Stepchild","21125"
"73","TN0330100","93-ANIY9ZCTD",20091227,20000301,"CHATTANOOGA                   ",172536,33,65,1,100,1,8,"male","black",0,"resident",36,"male","black",0,0,1,1,"SingleVO","6-10","Yes","30-40","Pop 100-500K","Parent","Night",0,0,"TN","East South Central","South","Other/unknown","Unknown","Personal Weapons (hands, feet, teeth, etc.)","None","Stepchild","41065"
"74","TNMPD0000","0G1M0UKZZCHH",20091105,20000801,"MEMPHIS                       ",667421,79,157,9,100,1,5,"female","black",0,"resident",40,"female","black",0,NA,1,1,"SingleVO","0-5","Yes","30-40","Pop >500K","Parent","Morning",0,0,"TN","East South Central","South","School/College","School","None/Other","None","Stepchild","41157"
"75","KS0750500","8I0BYVPU72 N",20101009,20090201,"ONAGA                         ",686,75,149,7,100,1,12,"female","white",0,"resident",42,"male","white",1,NA,1,1,"SingleVO","11-15","Yes","40-50","Pop <25K","Parent","Morning",0,0,"KS","West North Central","Northcentral","Residence/Home","Home",NA,"None","Stepchild","15149"
"76","OR0360000","8I0B-OTL72 N",20101206,19980101,"YAMHILL                       ",37000,36,71,12,100,1,11,"female","white",0,"non-resident",30,"female","white",0,NA,1,1,"SingleVO","11-15","Yes","20-30","Pop 25-100K","Parent","Morning",0,0,"OR","Pacific","West","Residence/Home","Home","None/Other","None","Stepchild","36071"
"77","ID0050000","8G24K8NL7C6D",20080530,19920101,"BENEWAH                       ",6608,5,9,9,100,1,9,"female",NA,NA,"resident",60,"male","white",1,0,3,2,"MultVO","6-10","Yes",">50","Pop <25K","Parent","Morning",NA,NA,"ID","Mountain","West","Residence/Home","Home","Knife/Cutting Instrument","None","Stepchild","11009"
