"","SEGMENT","STATE","ORI","INCNUM","INCDATE","B1006","B1007","B1009","B1010","B1011","B2005","B2006","B3024","V1006","V1007","V20061","V20071","V20111","V20171","V40181","V40191","V40201","V40221","V40261","V40311","V40321","V50071","V50081","V50091","V60081","agemax","targ1","target","time.arrest","VNumVG","VNumOG","V40181G","V50071G","B2005G","V40321G","V1007G"
"15",1,3,"AR0660100","1W0H7KRLUN0A",20100906,20021201,"FORT SMITH                    ",30,7,3,86096,66,131,1,20,100,1,20,NA,7,0,1,1,1,1,24,35,1,2,NA,7,2,1,NA,"Single Victim","Multiple Offenders","6-10","30-40","Pop 25-100K","Known","Night"
"16",1,3,"AR0660100","1W0HY-XN9N0A",20101017,20021201,"FORT SMITH                    ",30,7,3,86096,66,131,1,20,100,1,20,1,15,0,1,1,1,1,24,42,1,2,NA,15,0,0,NA,"Single Victim","Single Offender","11-15","40-50","Pop 25-100K","Known","Night"
"17",1,3,"AR0680100","9N-4KO68429G",20100627,20060701,"CAVE CITY                     ",70,7,3,2028,68,135,0,8,100,1,25,1,9,1,2,1,1,1,NA,32,0,1,NA,9,0,0,NA,"Single Victim","Single Offender","6-10","30-40","Pop <25K",NA,"Morning"
"18",1,3,"AR0720100","2W1H0U7O662I",20100827,20030901,"FAYETTEVILLE                  ",30,7,3,79237,72,143,1,17,100,1,8,400,3,0,1,1,1,1,NA,25,1,1,20100827,3,2,1,0,"Single Victim","Single Offender","0-5","20-30","Pop 25-100K",NA,"Afternoon"
"19",1,2,"AZ0071100"," A0MQ-FQZJ1I",20100302,20081101,"GILBERT                       ",20,8,4,215215,7,13,0,20,100,1,20,400,4,0,1,NA,1,1,14,20,1,1,20100304,4,2,1,0.3,"Single Victim","Single Offender","0-5","<20","Pop 100-500K","Known","Night"
"20",1,2,"AZ0111300","8I0GAVSC12 N",20100620,20040701,"APACHE JUNCTION               ",40,8,4,32954,11,21,0,11,100,1,20,400,4,1,1,1,1,1,5,49,0,1,NA,4,1,0,NA,"Single Victim","Single Offender","0-5","40-50","Pop 25-100K","Parent","Morning"
"21",1,5,"CO0010000","1ACKQU72L0JX",20100211,19970101,"ADAMS                         ",92,8,4,89034,1,1,0,12,100,0,13,400,15,0,1,0,1,1,14,16,1,2,20100211,15,2,1,0,"Single Victim","Single Offender","11-15","<20","Pop 25-100K","Known","Morning"
"22",1,5,"CO0010000","CTCNA5HP53LI",20100309,19970101,"ADAMS                         ",92,8,4,89034,1,1,0,17,100,1,20,400,2,0,1,1,2,1,NA,21,1,1,NA,2,1,0,NA,"Single Victim","Single Offender","0-5","20-30","Pop 25-100K",NA,"Afternoon"
"23",1,5,"CO0010000","CTCNAEHP63LI",20101201,19970101,"ADAMS                         ",92,8,4,89034,1,1,0,NA,100,1,20,1,9,1,1,1,1,1,5,29,0,1,20110608,9,0,0,27,"Single Victim","Single Offender","6-10","20-30","Pop 25-100K","Parent",NA
"24",1,5,"CO0010000","F3C 04KHB7QS",20100911,19970101,"ADAMS                         ",92,8,4,89034,1,1,0,2,100,1,20,200,13,1,1,1,1,1,14,25,1,1,NA,13,2,1,NA,"Single Victim","Single Offender","11-15","20-30","Pop 25-100K","Known","Early"
"25",1,5,"CO0010000","W5CVU6X8I44E",20100725,19970101,"ADAMS                         ",92,8,4,89034,1,1,0,20,100,1,20,400,9,0,1,NA,1,1,12,43,1,1,NA,9,1,0,NA,"Single Victim","Single Offender","6-10","40-50","Pop 25-100K","Family","Night"
"26",1,5,"CO0010100"," A-MAEP1NX I",20100810,19850101,"AURORA                        ",13,8,4,278483,3,5,0,16,100,0,13,400,15,0,2,1,1,1,25,55,1,1,NA,15,1,0,NA,"Single Victim","Single Offender","11-15",">50","Pop 100-500K","Stranger","Afternoon"
"27",1,5,"CO0010100","1W-HL-Z0ID1A",20101016,19850101,"AURORA                        ",13,8,4,278483,3,5,0,0,100,1,20,400,7,1,2,1,1,1,11,21,1,2,NA,7,2,1,NA,"Single Victim","Single Offender","6-10","20-30","Pop 100-500K","Family","Night"
"28",1,5,"CO0010100","38-JRZA2VF39",20101116,19850101,"AURORA                        ",13,8,4,278483,3,5,1,0,100,1,25,400,15,1,2,0,1,1,5,33,0,2,NA,15,1,0,NA,"Multiple Victims","Single Offender","11-15","30-40","Pop 100-500K","Parent","Night"
"29",1,5,"CO0010100","38-JWYI2VF39",20100512,19850101,"AURORA                        ",13,8,4,278483,3,5,1,19,100,1,22,400,14,0,2,1,1,1,25,25,1,1,NA,14,2,1,NA,"Single Victim","Single Offender","11-15","20-30","Pop 100-500K","Stranger","Night"
"30",1,5,"CO0010100","7X-IJVE6QU72",20100422,19850101,"AURORA                        ",13,8,4,278483,3,5,0,19,100,1,25,400,8,0,1,1,1,1,25,39,1,1,NA,8,1,0,NA,"Single Victim","Multiple Offenders","6-10","30-40","Pop 100-500K","Stranger","Night"
"31",1,5,"CO0010100","9N-4IOC8Z39G",20100517,19850101,"AURORA                        ",13,8,4,278483,3,5,0,13,100,1,22,400,15,1,1,1,1,1,24,16,1,1,20100521,15,1,0,0.6,"Single Victim","Single Offender","11-15","<20","Pop 100-500K","Known","Afternoon"
"32",1,5,"CO0010100","9N-4KLR8V39G",20100212,19850101,"AURORA                        ",13,8,4,278483,3,5,1,15,100,1,20,400,1,0,2,NA,1,1,5,29,0,2,NA,1,1,0,NA,"Single Victim","Single Offender","0-5","20-30","Pop 100-500K","Parent","Afternoon"
"33",1,5,"CO0010100","C9-0WNM36SCT",20100116,19850101,"AURORA                        ",13,8,4,278483,3,5,0,17,100,0,13,400,15,0,1,1,1,1,25,30,1,1,20100203,15,1,0,2.6,"Single Victim","Single Offender","11-15","20-30","Pop 100-500K","Stranger","Afternoon"
"34",1,5,"CO0010100","F2-N2X174-F3",20100920,19850101,"AURORA                        ",13,8,4,278483,3,5,0,12,100,1,13,400,14,0,1,1,2,1,25,39,1,1,NA,14,2,1,NA,"Single Victim","Single Offender","11-15","30-40","Pop 100-500K","Stranger","Morning"
"35",1,5,"CO0010100","F2-NBRV76-F3",20101106,19850101,"AURORA                        ",13,8,4,278483,3,5,0,19,100,1,20,400,12,0,1,1,1,1,24,41,1,1,20101106,12,1,0,0,"Single Victim","Single Offender","11-15","40-50","Pop 100-500K","Known","Night"
"36",1,5,"CO0010100","TG-W5WY98CTD",20100311,19850101,"AURORA                        ",13,8,4,278483,3,5,0,7,100,1,13,400,15,0,2,0,1,1,NA,30,1,2,20100311,15,2,1,0,"Single Victim","Single Offender","11-15","20-30","Pop 100-500K",NA,"Morning"
"37",1,5,"CO0010100","WK-ZKRX4X0W5",20100916,19850101,"AURORA                        ",13,8,4,278483,3,5,0,15,100,1,22,400,15,0,1,1,2,1,9,16,1,1,20100916,15,2,1,0,"Single Victim","Single Offender","11-15","<20","Pop 100-500K","Family","Afternoon"
"38",1,5,"CO0010500","2W1H0OK2LD1A",20100521,19970101,"WESTMINSTER                   ",20,8,4,62227,1,1,0,18,100,1,13,400,15,0,1,0,2,1,25,49,1,NA,NA,15,2,1,NA,"Single Victim","Single Offender","11-15","40-50","Pop 25-100K","Stranger","Afternoon"
"39",1,5,"CO0010600","EUCZF28N05Y4",20100323,19970101,"NORTHGLENN                    ",40,8,4,34171,1,1,0,12,100,0,25,400,11,0,1,NA,1,1,25,18,1,2,NA,12,1,0,NA,"Multiple Victims","Single Offender","11-15","<20","Pop 25-100K","Stranger","Morning"
"40",1,5,"CO0010600","TWCJEHPUO9I7",20100601,19970101,"NORTHGLENN                    ",40,8,4,34171,1,1,0,10,100,0,18,400,14,0,1,1,1,1,25,50,1,1,NA,14,1,0,NA,"Single Victim","Single Offender","11-15","40-50","Pop 25-100K","Stranger","Morning"
"41",1,5,"CO0010800"," 5C5R-F3T11A",20100618,19970101,"FEDERAL HEIGHTS               ",50,8,4,12114,1,1,0,22,100,1,20,400,15,0,1,1,2,1,15,36,1,1,20100621,15,2,1,0.4,"Single Victim","Single Offender","11-15","30-40","Pop <25K","Known","Night"
"42",1,5,"CO0030000","2W1H0U73JCBX",20100502,19970101,"ARAPAHOE                      ",92,8,4,81034,3,5,0,17,100,1,10,NA,12,0,1,1,2,1,14,18,1,1,NA,12,2,1,NA,"Single Victim","Single Offender","11-15","<20","Pop 25-100K","Known","Afternoon"
"43",1,5,"CO0030000","2W1H0U7ZL7TR",20100705,19970101,"ARAPAHOE                      ",92,8,4,81034,3,5,1,9,100,1,25,400,0.1,1,1,1,1,1,7,56,0,1,NA,0.1,1,0,NA,"Single Victim","Multiple Offenders","0-5",">50","Pop 25-100K","Family","Morning"
"44",1,5,"CO0031100","2W1H0U72J7 4",20100218,20020101,"CENTENNIAL                    ",20,8,4,98902,3,5,0,5,100,1,13,400,15,0,1,1,2,1,NA,22,1,1,NA,15,2,1,NA,"Single Victim","Single Offender","11-15","20-30","Pop 25-100K",NA,"Early"
"45",1,5,"CO0070400","8I0BKOBHV2 N",20101123,19970101,"LONGMONT                      ",30,8,4,88862,7,13,0,17,100,1,10,400,15,0,1,1,1,1,25,20,1,1,NA,15,1,0,NA,"Single Victim","Single Offender","11-15","<20","Pop 25-100K","Stranger","Afternoon"
"46",1,5,"CO0210100"," A1-1-FL6X I",20100506,19970101,"COLORADO SPRINGS              ",13,8,4,397886,21,41,0,16,100,1,18,400,8,0,1,1,1,1,25,65,1,1,20100625,8,1,0,7.1,"Multiple Victims","Single Offender","6-10",">50","Pop 100-500K","Stranger","Afternoon"
"47",1,5,"CO0210100","103HYKFCTD1A",20100602,19970101,"COLORADO SPRINGS              ",13,8,4,397886,21,41,0,0,100,1,13,400,3,1,1,1,1,1,5,28,1,1,20100922,3,1,0,16,"Single Victim","Single Offender","0-5","20-30","Pop 100-500K","Parent","Night"
"48",1,5,"CO0210100","103I5HKCTD1A",20101108,19970101,"COLORADO SPRINGS              ",13,8,4,397886,21,41,0,16,100,1,13,400,14,0,1,1,1,1,25,22,1,1,NA,14,2,1,NA,"Single Victim","Multiple Offenders","11-15","20-30","Pop 100-500K","Stranger","Afternoon"
"49",1,5,"CO0210100","1W1N05ZCTD1A",20100525,19970101,"COLORADO SPRINGS              ",13,8,4,397886,21,41,0,1,100,1,20,400,13,0,2,0,1,1,14,18,1,2,20100824,13,2,1,13,"Multiple Victims","Single Offender","11-15","<20","Pop 100-500K","Known","Night"
"50",1,5,"CO0210100","8I0AECTU72 N",20100315,19970101,"COLORADO SPRINGS              ",13,8,4,397886,21,41,1,15,100,0,20,400,4,1,1,1,1,1,16,27,1,2,NA,4,1,0,NA,"Single Victim","Single Offender","0-5","20-30","Pop 100-500K","Known","Afternoon"
"51",1,5,"CO0210100","WK4ZX4Z9G0W5",20101209,19970101,"COLORADO SPRINGS              ",13,8,4,397886,21,41,0,19,100,1,20,400,8,1,4,1,1,1,5,42,1,4,20101209,8,1,0,0,"Single Victim","Single Offender","6-10","40-50","Pop 100-500K","Parent","Night"
"52",1,5,"CO0300000","8I-1EC3 728N",20100127,19970101,"JEFFERSON                     ",91,8,4,186270,30,59,0,6,100,0,13,1,15,0,1,1,1,1,25,31,1,1,NA,15,0,0,NA,"Single Victim","Single Offender","11-15","30-40","Pop 100-500K","Stranger","Early"
"53",1,5,"CO0300000","EH--OZS51AEM",20100426,19970101,"JEFFERSON                     ",91,8,4,186270,30,59,0,12,100,0,22,400,9,0,2,1,1,1,25,25,1,1,NA,9,1,0,NA,"Single Victim","Multiple Offenders","6-10","20-30","Pop 100-500K","Stranger","Morning"
"54",1,5,"CO0300100","2W1H0-HZLC1A",20100828,20060101,"ARVADA                        ",20,8,4,104061,30,59,0,8,100,1,20,1,14,0,1,1,1,1,5,53,1,1,NA,14,0,0,NA,"Single Victim","Single Offender","11-15",">50","Pop 100-500K","Parent","Morning"
"55",1,5,"CO0300100","2W1H0-ONIN1A",20100816,20060101,"ARVADA                        ",20,8,4,104061,30,59,0,20,100,1,20,400,8,0,1,NA,1,1,12,40,0,1,NA,8,1,0,NA,"Multiple Victims","Multiple Offenders","6-10","30-40","Pop 100-500K","Family","Night"
"56",1,5,"CO0300100","2W1H0-X3JG1A",20100913,20060101,"ARVADA                        ",20,8,4,104061,30,59,0,11,100,1,13,400,15,0,1,1,1,1,25,54,1,1,NA,15,1,0,NA,"Single Victim","Single Offender","11-15",">50","Pop 100-500K","Stranger","Morning"
"57",1,5,"CO0300100","2W1H0UZ 9G1A",20100608,20060101,"ARVADA                        ",20,8,4,104061,30,59,0,15,100,1,20,1,6,1,1,0,1,1,5,26,0,1,NA,6,0,0,NA,"Single Victim","Single Offender","6-10","20-30","Pop 100-500K","Parent","Afternoon"
"58",1,5,"CO0300400","8I0BIEMC72 N",20100119,19970101,"LAKEWOOD                      ",20,8,4,139615,30,59,1,14,100,1,18,400,14,0,1,0,2,1,NA,19,1,1,NA,14,2,1,NA,"Single Victim","Multiple Offenders","11-15","<20","Pop 100-500K",NA,"Afternoon"
"59",1,5,"CO0300400","8I0BRMQR72 N",20100102,19970101,"LAKEWOOD                      ",20,8,4,139615,30,59,0,14,100,0,13,400,10,0,1,1,1,1,25,45,1,1,NA,10,1,0,NA,"Single Victim","Single Offender","6-10","40-50","Pop 100-500K","Stranger","Afternoon"
"60",1,5,"CO0300400","8I0Q1VZL72 N",20101019,19970101,"LAKEWOOD                      ",20,8,4,139615,30,59,0,6,100,1,13,120,15,0,1,0,1,1,25,24,1,2,NA,15,2,1,NA,"Single Victim","Single Offender","11-15","20-30","Pop 100-500K","Stranger","Early"
"61",1,5,"CO0300400","8I0QAFSD72 N",20100923,19970101,"LAKEWOOD                      ",20,8,4,139615,30,59,0,21,100,0,13,400,14,0,1,NA,1,1,25,35,1,NA,NA,14,2,1,NA,"Single Victim","Multiple Offenders","11-15","30-40","Pop 100-500K","Stranger","Night"
"62",1,5,"CO0450100","04-OYO6J9G0W",20100621,19950801,"LA JUNTA                      ",60,8,4,6845,45,89,0,18,100,1,20,400,11,0,1,1,1,1,14,17,1,1,20100703,11,1,0,1.7,"Single Victim","Multiple Offenders","11-15","<20","Pop <25K","Known","Afternoon"
"63",1,5,"CO0540100","RN0BSFQM72 N",20100813,19970101,"STEAMBOAT SPRINGS             ",50,8,4,12426,54,107,0,12,100,0,25,400,14,0,1,0,1,1,25,45,1,1,NA,14,1,0,NA,"Single Victim","Single Offender","11-15","40-50","Pop <25K","Stranger","Morning"
"64",1,5,"CO0620200","8I0BKB3LT2 N",20101225,20050101,"GREELEY                       ",30,8,4,92804,62,123,0,20,100,0,13,400,9,0,1,1,1,1,25,21,1,1,NA,9,1,0,NA,"Single Victim","Multiple Offenders","6-10","20-30","Pop 25-100K","Stranger","Night"
"65",1,5,"CO0620200","8I0BKY3RQ2 N",20100904,20050101,"GREELEY                       ",30,8,4,92804,62,123,0,11,100,1,20,400,2,1,1,1,1,1,19,27,1,1,20100917,2,1,0,1.9,"Single Victim","Multiple Offenders","0-5","20-30","Pop 25-100K","Known","Morning"
"66",1,5,"CODPD0000"," A-MQ-21FJ1G",20100820,20050101,"DENVER                        ",12,8,4,607051,16,31,0,8,100,1,20,1,5,0,1,1,1,1,5,30,0,1,NA,5,0,0,NA,"Single Victim","Single Offender","0-5","20-30","Pop >500K","Parent","Morning"
"67",1,5,"CODPD0000","38-J4KY2K7Z ",20100511,20050101,"DENVER                        ",12,8,4,607051,16,31,0,7,100,0,13,1,14,0,2,1,1,1,25,25,1,1,NA,14,0,0,NA,"Single Victim","Single Offender","11-15","20-30","Pop >500K","Stranger","Morning"
"68",1,5,"CODPD0000","7X-IYBI6M-P3",20100721,20050101,"DENVER                        ",12,8,4,607051,16,31,0,20,100,0,25,400,10,0,1,1,1,1,25,32,1,1,20100721,12,1,0,0,"Multiple Victims","Single Offender","6-10","30-40","Pop >500K","Stranger","Night"
"69",1,5,"CODPD0000","7X-IYBS6Q9SS",20101115,20050101,"DENVER                        ",12,8,4,607051,16,31,1,15,100,1,20,400,1,0,1,0,1,1,12,30,1,1,20101115,1,1,0,0,"Single Victim","Multiple Offenders","0-5","20-30","Pop >500K","Family","Afternoon"
"70",1,5,"CODPD0000","9N-4KOC862FB",20100924,20050101,"DENVER                        ",12,8,4,607051,16,31,0,19,100,1,18,400,6,1,2,1,1,1,25,25,1,1,NA,6,1,0,NA,"Single Victim","Single Offender","6-10","20-30","Pop >500K","Stranger","Night"
"71",1,5,"CODPD0000","C9-0W5035RUI",20100706,20050101,"DENVER                        ",12,8,4,607051,16,31,1,18,100,1,20,1,8,1,1,0,1,1,5,56,0,1,NA,8,0,0,NA,"Single Victim","Multiple Offenders","6-10",">50","Pop >500K","Parent","Afternoon"
"72",1,5,"CODPD0000","EH-U7295BR1Y",20100402,20050101,"DENVER                        ",12,8,4,607051,16,31,0,21,100,0,13,1,13,1,2,1,1,1,25,39,1,2,NA,13,0,0,NA,"Multiple Victims","Multiple Offenders","11-15","30-40","Pop >500K","Stranger","Night"
"73",1,5,"CODPD0000","EH-U72J56RYL",20101108,20050101,"DENVER                        ",12,8,4,607051,16,31,0,17,100,0,13,400,12,0,1,1,1,1,25,16,1,2,NA,12,1,0,NA,"Single Victim","Single Offender","11-15","<20","Pop >500K","Stranger","Afternoon"
"74",1,5,"CODPD0000","EH-U72U5XW5L",20100716,20050101,"DENVER                        ",12,8,4,607051,16,31,0,1,100,1,10,400,15,0,1,1,1,1,14,18,1,1,NA,15,2,1,NA,"Single Victim","Single Offender","11-15","<20","Pop >500K","Known","Night"
"75",1,5,"CODPD0000","F2-NJ4N7ZT6C",20100725,20050101,"DENVER                        ",12,8,4,607051,16,31,1,17,100,1,12,1,12,0,1,1,1,1,5,39,1,1,NA,12,0,0,NA,"Single Victim","Single Offender","11-15","30-40","Pop >500K","Parent","Afternoon"
"76",1,5,"CODPD0000","TG-W5HQ9XOIL",20100425,20050101,"DENVER                        ",12,8,4,607051,16,31,0,15,100,1,13,400,9,0,1,1,1,1,25,42,1,2,20100426,9,2,1,0.1,"Single Victim","Single Offender","6-10","40-50","Pop >500K","Stranger","Afternoon"
"77",1,5,"CODPD0000","TG-W5HW9PU64",20100810,20050101,"DENVER                        ",12,8,4,607051,16,31,0,16,100,1,13,400,12,0,2,1,2,1,25,16,1,1,20100810,12,2,1,0,"Single Victim","Multiple Offenders","11-15","<20","Pop >500K","Stranger","Afternoon"
"78",1,5,"CODPD0000","WK-ZL6S4IDI0",20100520,20050101,"DENVER                        ",12,8,4,607051,16,31,0,19,100,1,20,400,5,0,2,1,1,1,25,56,1,1,20100520,12,2,1,0,"Multiple Victims","Single Offender","0-5",">50","Pop >500K","Stranger","Night"
"79",1,5,"CODPD0000","WK-ZL6X4BM1R",20100128,20050101,"DENVER                        ",12,8,4,607051,16,31,0,16,100,0,13,400,8,0,NA,1,1,1,25,25,1,1,NA,8,1,0,NA,"Single Victim","Single Offender","6-10","20-30","Pop >500K","Stranger","Afternoon"
"80",1,6,"CT0000200","8I0BRVSMPX N",20100115,20010301,"ANSONIA                       ",50,1,1,18743,5,9,0,18,100,1,25,200,13,1,1,1,1,1,25,25,1,1,20100115,13,2,1,0,"Multiple Victims","Single Offender","11-15","20-30","Pop <25K","Stranger","Afternoon"
"81",1,6,"CT0002700","EH--ZPZ5US8M",20100921,20011201,"CLINTON                       ",50,1,1,13832,4,7,1,12,100,1,20,400,4,0,1,1,1,1,14,32,1,1,20101210,4,2,1,11.4,"Single Victim","Single Offender","0-5","30-40","Pop <25K","Known","Morning"
"82",1,6,"CT0002700","VF--F08-60VS",20100216,20011201,"CLINTON                       ",50,1,1,13832,4,7,0,18,100,1,20,400,10,0,1,0,1,1,4,44,1,1,20100311,10,2,1,3.3,"Single Victim","Single Offender","6-10","40-50","Pop <25K","Parent","Afternoon"
"83",1,6,"CT0004300","2W1H0U729CJD",20100121,19991201,"EAST HARTFORD                 ",30,1,1,49156,2,3,1,12,100,1,20,400,15,0,4,1,1,1,25,31,1,1,20100219,15,2,1,4.1,"Single Victim","Single Offender","11-15","30-40","Pop 25-100K","Stranger","Morning"
"84",1,6,"CT0004300","2W1H0U73J728",20100601,19991201,"EAST HARTFORD                 ",30,1,1,49156,2,3,1,2,100,1,20,400,11,0,2,1,1,1,12,22,1,2,20100610,11,2,1,1.3,"Single Victim","Single Offender","11-15","20-30","Pop 25-100K","Family","Early"
"85",1,6,"CT0004300","2W1H0U7Z8C8 ",20100713,19991201,"EAST HARTFORD                 ",30,1,1,49156,2,3,1,13,100,1,20,400,14,0,1,1,1,1,7,54,1,1,20101021,14,2,1,14.3,"Single Victim","Single Offender","11-15",">50","Pop 25-100K","Family","Afternoon"
"86",1,6,"CT0004300","2W1H0U7Z8Y N",20100711,19991201,"EAST HARTFORD                 ",30,1,1,49156,2,3,1,17,100,1,14,400,1,0,2,0,1,1,5,30,0,2,20100929,1,1,0,11.4,"Single Victim","Single Offender","0-5","20-30","Pop 25-100K","Parent","Afternoon"
"87",1,6,"CT0004300","2W1H0U7ZZ7J8",20100831,19991201,"EAST HARTFORD                 ",30,1,1,49156,2,3,1,13,100,1,20,400,15,0,2,1,1,1,4,45,1,2,20110104,15,2,1,18,"Single Victim","Single Offender","11-15","40-50","Pop 25-100K","Parent","Afternoon"
"88",1,6,"CT0005600","VF-TF59-60VS",20101231,19980201,"GRANBY                        ",50,1,1,11451,2,3,0,15,100,1,11,1,6,0,1,0,1,1,5,45,0,1,20110118,6,0,0,2.6,"Single Victim","Single Offender","6-10","40-50","Pop <25K","Parent","Afternoon"
"89",1,6,"CT0005700","1I1M1-SGN3 I",20100622,19990901,"GREENWICH                     ",30,1,1,63281,1,1,0,10,100,1,20,400,1,1,2,0,1,1,5,18,0,2,NA,1,1,0,NA,"Single Victim","Multiple Offenders","0-5","<20","Pop 25-100K","Parent","Morning"
"90",1,6,"CT0009300","0A1H0-ZV8Y1A",20100403,19990501,"NEW HAVEN                     ",20,1,1,124856,5,9,0,0,100,1,13,400,15,0,1,1,2,1,25,41,1,2,20100403,15,2,1,0,"Single Victim","Single Offender","11-15","40-50","Pop 100-500K","Stranger","Night"
"91",1,6,"CT0009300","0A1H04ON7C1A",20101121,19990501,"NEW HAVEN                     ",20,1,1,124856,5,9,0,23,100,1,13,400,15,0,2,1,1,1,12,19,1,2,NA,15,1,0,NA,"Single Victim","Single Offender","11-15","<20","Pop 100-500K","Family","Night"
"92",1,6,"CT0015500","8I0BRORCFC N",20100428,20070701,"WEST HARTFORD                 ",30,1,1,61603,2,3,0,18,100,1,18,1,1,1,2,0,1,1,7,43,1,2,NA,1,0,0,NA,"Single Victim","Single Offender","0-5","40-50","Pop 25-100K","Family","Afternoon"
"93",1,6,"CT0015500","8I0BRVM-6A N",20100119,20070701,"WEST HARTFORD                 ",30,1,1,61603,2,3,0,15,100,0,13,1,11,0,1,1,1,1,25,45,1,1,20100119,11,0,0,0,"Single Victim","Single Offender","11-15","40-50","Pop 25-100K","Stranger","Afternoon"
"94",1,6,"CTCSP0000","8I0B-WB963 N",20100826,20030101,"CONNECTICUT STATE POLICE      ",81,1,1,545928,300,900,0,13,100,1,20,1,15,1,1,1,1,1,5,44,1,1,NA,15,0,0,NA,"Single Victim","Single Offender","11-15","40-50","Pop >500K","Parent","Afternoon"
"95",1,6,"CTCSP0000","8I0B-YSRFS N",20100809,20030101,"CONNECTICUT STATE POLICE      ",81,1,1,545928,300,900,0,18,100,1,11,400,15,0,1,1,2,1,24,26,1,1,20100821,15,2,1,1.7,"Single Victim","Single Offender","11-15","20-30","Pop >500K","Known","Afternoon"
